"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AREQUIPA (000)",823148,28646,70966,79557,86983,163555,132492,197233,63716
"Sin nivel (001)",61294,28646,4991,548,489,1061,3513,11264,10782
"Educación inicial (002)",22819,,21589,653,190,233,154,,
"Primaria (003)",165212,,44386,45999,3120,5850,11746,33721,20390
"Secundaria (004)",244255,,,32357,58593,49113,39214,51502,13476
"Superior no univ. incompleto (005)",60766,,,,10509,25254,11729,11439,1835
"Superior no univ. completo (006)",82908,,,,,27566,24479,26149,4714
"Superior univ. incompleto (007)",73411,,,,14082,31345,9956,15514,2514
"Superior univ. completo (008)",112483,,,,,23133,31701,47644,10005
"Hombres (010)",395106,14651,36304,40312,42854,78618,60915,91316,30136
"Sin nivel (011)",22767,14651,2577,294,255,457,695,1799,2039
"Educación inicial (012)",11654,,11084,334,101,92,43,,
"Primaria (013)",75282,,22643,23342,1272,1725,3690,12467,10143
"Secundaria (014)",123338,,,16342,29492,24081,19247,27064,7112
"Superior no univ. incompleto (015)",30581,,,,5067,12450,5847,6182,1035
"Superior no univ. completo (016)",37372,,,,,12873,10917,11315,2267
"Superior univ. incompleto (017)",39496,,,,6667,16840,5709,8710,1570
"Superior univ. completo (018)",54616,,,,,10100,14767,23779,5970
"Mujeres (020)",428042,13995,34662,39245,44129,84937,71577,105917,33580
"Sin nivel (021)",38527,13995,2414,254,234,604,2818,9465,8743
"Educación inicial (022)",11165,,10505,319,89,141,111,,
"Primaria (023)",89930,,21743,22657,1848,4125,8056,21254,10247
"Secundaria (024)",120917,,,16015,29101,25032,19967,24438,6364
"Superior no univ. incompleto (025)",30185,,,,5442,12804,5882,5257,800
"Superior no univ. completo (026)",45536,,,,,14693,13562,14834,2447
"Superior univ. incompleto (027)",33915,,,,7415,14505,4247,6804,944
"Superior univ. completo (028)",57867,,,,,13033,16934,23865,4035
,,,,,,,,,
"URBANA (030)",802911,27827,69091,77492,84989,159941,129450,192282,61839
"Sin nivel (031)",58408,27827,4732,521,457,989,3216,10434,10232
"Educación inicial (032)",22292,,21104,648,182,214,144,,
