"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia JORGE BASADRE (000)",9872,9823,32,17
"Hombres (001)",5920,5899,17,4
"Mujeres (002)",3952,3924,15,13
"Menores de 1 año (003)",130,114,13,3
"Hombres (004)",65,54,9,2
"Mujeres (005)",65,60,4,1
"De 1 a 5 años (006)",780,753,13,14
"Hombres (007)",398,389,7,2
"Mujeres (008)",382,364,6,12
"De 6 a 14 años (009)",1218,1218,,
"Hombres (010)",620,620,,
"Mujeres (011)",598,598,,
"De 15 a 29 años (012)",2827,2827,,
"Hombres (013)",1758,1758,,
"Mujeres (014)",1069,1069,,
"De 30 a 44 años (015)",2548,2547,1,
"Hombres (016)",1568,1568,,
"Mujeres (017)",980,979,1,
"De 45 a 64 años (018)",1892,1892,,
"Hombres (019)",1244,1244,,
"Mujeres (020)",648,648,,
"De 65 a más años (021)",477,472,5,
"Hombres (022)",267,266,1,
"Mujeres (023)",210,206,4,
,,,,
"URBANA (024)",6202,6177,19,6
"Hombres (025)",3835,3821,11,3
"Mujeres (026)",2367,2356,8,3
"Menores de 1 año (027)",88,76,10,2
"Hombres (028)",44,35,8,1
"Mujeres (029)",44,41,2,1
"De 1 a 5 años (030)",445,436,5,4
"Hombres (031)",234,230,2,2
"Mujeres (032)",211,206,3,2
"De 6 a 14 años (033)",741,741,,
"Hombres (034)",375,375,,
"Mujeres (035)",366,366,,
"De 15 a 29 años (036)",1891,1891,,
"Hombres (037)",1220,1220,,
"Mujeres (038)",671,671,,
"De 30 a 44 años (039)",1649,1649,,
"Hombres (040)",1035,1035,,
"Mujeres (041)",614,614,,
"De 45 a 64 años (042)",1199,1199,,
"Hombres (043)",823,823,,
"Mujeres (044)",376,376,,
"De 65 a más años (045)",189,185,4,
"Hombres (046)",104,103,1,
"Mujeres (047)",85,82,3,
,,,,
"RURAL (048)",3670,3646,13,11
"Hombres (049)",2085,2078,6,1
"Mujeres (050)",1585,1568,7,10
"Menores de 1 año (051)",42,38,3,1
"Hombres (052)",21,19,1,1
"Mujeres (053)",21,19,2,
"De 1 a 5 años (054)",335,317,8,10
"Hombres (055)",164,159,5,
"Mujeres (056)",171,158,3,10
"De 6 a 14 años (057)",477,477,,
"Hombres (058)",245,245,,
"Mujeres (059)",232,232,,
"De 15 a 29 años (060)",936,936,,
"Hombres (061)",538,538,,
"Mujeres (062)",398,398,,
"De 30 a 44 años (063)",899,898,1,
"Hombres (064)",533,533,,
"Mujeres (065)",366,365,1,
"De 45 a 64 años (066)",693,693,,
"Hombres (067)",421,421,,
"Mujeres (068)",272,272,,
"De 65 a más años (069)",288,287,1,
"Hombres (070)",163,163,,
"Mujeres (071)",125,124,1,
