"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MELGAR (000)",28102,27101,8777,3319,3247,2643,4027,2665,1462,961,1001,75625
"De 12 a 14 años (001)",2987,2975,2962,10,3,,,,,,12,16
"De 15 a 19 años (002)",3933,3881,3507,329,38,3,4,,,,52,430
"De 20 a 24 años (003)",3113,2758,1172,973,455,124,33,1,,,355,2395
"De 25 a 29 años (004)",2715,2444,379,736,680,382,239,24,4,,271,4444
"De 30 a 34 años (005)",2530,2415,187,389,661,506,528,125,17,2,115,6489
"De 35 a 39 años (006)",2363,2306,115,254,432,456,639,297,93,20,57,8168
"De 40 a 44 años (007)",2130,2104,90,142,289,338,621,372,181,71,26,9149
"De 45 a 49 años (008)",1702,1684,69,99,187,222,447,370,199,91,18,8167
"De 50 y más años (009)",6629,6534,296,387,502,612,1516,1476,968,777,95,36367
"Conviviente (010)",7457,7275,535,1843,1727,1111,1248,519,192,100,182,20124
"De 12 a 14 años (011)",27,19,11,7,1,,,,,,8,9
"De 15 a 19 años (012)",460,420,163,228,28,1,,,,,40,287
"De 20 a 24 años (013)",1449,1387,175,719,364,101,27,1,,,62,1866
"De 25 a 29 años (014)",1562,1528,75,481,514,277,163,15,3,,34,3159
"De 30 a 34 años (015)",1334,1318,32,201,415,285,313,62,8,2,16,3723
"De 35 a 39 años (016)",999,992,19,108,206,223,280,113,41,2,7,3497
"De 40 a 44 años (017)",631,627,18,39,99,109,186,109,48,19,4,2691
"De 45 a 49 años (018)",362,358,11,21,42,38,112,82,40,12,4,1714
"De 50 y más años (019)",633,626,31,39,58,77,167,137,52,65,7,3178
"Separado(a) (020)",1388,1377,21,434,308,207,235,106,42,24,11,3998
"De 12 a 14 años (021)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (022)",46,44,4,37,2,1,,,,,2,44
