"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OYON (000)",19329,903,2134,2383,1778,3354,3136,4069,1572
"Sabe leer y escribir (001)",16947,,1667,2369,1762,3305,3059,3701,1084
"No sabe leer y escribir (002)",2382,903,467,14,16,49,77,368,488
"Hombres (004)",10180,455,1089,1211,892,1848,1739,2218,728
"Sabe leer y escribir (005)",9350,,856,1209,887,1832,1724,2171,671
"No sabe leer y escribir (006)",830,455,233,2,5,16,15,47,57
"Mujeres (008)",9149,448,1045,1172,886,1506,1397,1851,844
"Sabe leer y escribir (009)",7597,,811,1160,875,1473,1335,1530,413
"No sabe leer y escribir (010)",1552,448,234,12,11,33,62,321,431
,,,,,,,,,
"URBANA (012)",12361,618,1501,1645,1240,2017,1886,2432,1022
"Sabe leer y escribir (013)",10872,,1209,1639,1233,1991,1850,2219,731
"No sabe leer y escribir (014)",1489,618,292,6,7,26,36,213,291
"Hombres (016)",5986,322,767,821,583,952,867,1209,465
"Sabe leer y escribir (017)",5466,,624,821,582,946,862,1192,439
"No sabe leer y escribir (018)",520,322,143,,1,6,5,17,26
"Mujeres (020)",6375,296,734,824,657,1065,1019,1223,557
"Sabe leer y escribir (021)",5406,,585,818,651,1045,988,1027,292
"No sabe leer y escribir (022)",969,296,149,6,6,20,31,196,265
,,,,,,,,,
"RURAL (024)",6968,285,633,738,538,1337,1250,1637,550
"Sabe leer y escribir (025)",6075,,458,730,529,1314,1209,1482,353
"No sabe leer y escribir (026)",893,285,175,8,9,23,41,155,197
"Hombres (028)",4194,133,322,390,309,896,872,1009,263
"Sabe leer y escribir (029)",3884,,232,388,305,886,862,979,232
"No sabe leer y escribir (030)",310,133,90,2,4,10,10,30,31
"Mujeres (032)",2774,152,311,348,229,441,378,628,287
"Sabe leer y escribir (033)",2191,,226,342,224,428,347,503,121
"No sabe leer y escribir (034)",583,152,85,6,5,13,31,125,166
