"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BONGARA (000)",10037,8571,479,408,579
"Hombres (001)",7505,6438,369,286,412
"Mujeres (002)",2532,2133,110,122,167
"De 06 a 14 años (003)",216,207,9,,
"Hombres (004)",173,166,7,,
"Mujeres (005)",43,41,2,,
"De 15 a 29 años (006)",3324,2863,170,116,175
"Hombres (007)",2573,2232,139,87,115
"Mujeres (008)",751,631,31,29,60
"De 30 a 44 años (009)",3495,2833,191,195,276
"Hombres (010)",2528,2059,141,136,192
"Mujeres (011)",967,774,50,59,84
"De 45 a 64 años (012)",2315,2008,91,95,121
"Hombres (013)",1716,1489,68,61,98
"Mujeres (014)",599,519,23,34,23
"De 65 y más años (015)",687,660,18,2,7
"Hombres (016)",515,492,14,2,7
"Mujeres (017)",172,168,4,,
,,,,,
"URBANA (018)",6248,5078,341,347,482
"Hombres (019)",4341,3528,250,234,329
"Mujeres (020)",1907,1550,91,113,153
"De 06 a 14 años (021)",104,97,7,,
"Hombres (022)",83,77,6,,
"Mujeres (023)",21,20,1,,
"De 15 a 29 años (024)",1870,1522,122,85,141
"Hombres (025)",1342,1099,95,61,87
"Mujeres (026)",528,423,27,24,54
"De 30 a 44 años (027)",2332,1788,135,174,235
"Hombres (028)",1558,1195,92,117,154
"Mujeres (029)",774,593,43,57,81
"De 45 a 64 años (030)",1535,1283,67,86,99
"Hombres (031)",1072,889,48,54,81
"Mujeres (032)",463,394,19,32,18
"De 65 y más años (033)",407,388,10,2,7
"Hombres (034)",286,268,9,2,7
"Mujeres (035)",121,120,1,,
,,,,,
"RURAL (036)",3789,3493,138,61,97
"Hombres (037)",3164,2910,119,52,83
"Mujeres (038)",625,583,19,9,14
"De 06 a 14 años (039)",112,110,2,,
"Hombres (040)",90,89,1,,
"Mujeres (041)",22,21,1,,
"De 15 a 29 años (042)",1454,1341,48,31,34
"Hombres (043)",1231,1133,44,26,28
"Mujeres (044)",223,208,4,5,6
"De 30 a 44 años (045)",1163,1045,56,21,41
"Hombres (046)",970,864,49,19,38
"Mujeres (047)",193,181,7,2,3
"De 45 a 64 años (048)",780,725,24,9,22
"Hombres (049)",644,600,20,7,17
"Mujeres (050)",136,125,4,2,5
"De 65 y más años (051)",280,272,8,,
"Hombres (052)",229,224,5,,
"Mujeres (053)",51,48,3,,
