"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONDORCANQUI (000)",10223,1079,547,5654,39,2788,116
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,34,,,,,
"Profes., científicos e intelectuales (002)",750,682,,67,,1,
"Técnicos de nivel medio y trab. asimilados (003)",140,99,,34,3,4,
"Jefes y empleados de oficina (004)",112,111,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",307,39,4,212,9,43,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4961,10,2,4928,18,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",141,,56,80,3,2,
"Obreros construc.,conf., papel, fab., instr. (008)",183,11,58,95,2,17,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",3347,43,418,67,2,2701,116
"Otra (010)",41,41,,,,,
"Ocupación no especificada (011)",207,9,9,171,2,16,
"Hombres (012)",5944,765,456,4076,33,604,10
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",30,30,,,,,
"Profes., científicos e intelectuales (014)",516,469,,46,,1,
"Técnicos de nivel medio y trab. asimilados (015)",107,79,,23,3,2,
"Jefes y empleados de oficina (016)",74,73,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",169,25,,120,9,15,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",3670,5,2,3644,16,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",129,,53,71,3,2,
"Obreros construc.,conf., papel, fab., instr. (020)",181,11,57,94,2,17,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",963,26,340,28,,559,10
"Otra (022)",41,41,,,,,
"Ocupación no especificada (023)",64,6,4,50,,4,
"Mujeres (024)",4279,314,91,1578,6,2184,106
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,4,,,,,
"Profes., científicos e intelectuales (026)",234,213,,21,,,
"Técnicos de nivel medio y trab. asimilados (027)",33,20,,11,,2,
"Jefes y empleados de oficina (028)",38,38,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",138,14,4,92,,28,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1291,5,,1284,2,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",12,,3,9,,,
"Obreros construc.,conf., papel, fab., instr. (032)",2,,1,1,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2384,17,78,39,2,2142,106
"Ocupación no especificada (035)",143,3,5,121,2,12,
,,,,,,,
"URBANA (036)",1592,504,175,655,7,160,91
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",14,14,,,,,
"Profes., científicos e intelectuales (038)",261,242,,19,,,
"Técnicos de nivel medio y trab. asimilados (039)",92,62,,28,,2,
"Jefes y empleados de oficina (040)",88,88,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",165,35,2,93,2,33,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",346,,,343,3,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",66,,28,38,,,
"Obreros construc.,conf., papel, fab., instr. (044)",84,10,22,52,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",410,29,114,51,2,123,91
"Otra (046)",18,18,,,,,
"Ocupación no especificada (047)",48,6,9,31,,2,
"Hombres (048)",1000,342,153,441,4,54,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",11,11,,,,,
"Profes., científicos e intelectuales (050)",175,161,,14,,,
"Técnicos de nivel medio y trab. asimilados (051)",65,48,,17,,,
"Jefes y empleados de oficina (052)",52,52,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",81,22,,45,2,12,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",249,,,247,2,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",60,,27,33,,,
"Obreros construc.,conf., papel, fab., instr. (056)",83,10,22,51,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",184,17,100,19,,42,6
"Otra (058)",18,18,,,,,
"Ocupación no especificada (059)",22,3,4,15,,,
"Mujeres (060)",592,162,22,214,3,106,85
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,3,,,,,
"Profes., científicos e intelectuales (062)",86,81,,5,,,
"Técnicos de nivel medio y trab. asimilados (063)",27,14,,11,,2,
"Jefes y empleados de oficina (064)",36,36,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",84,13,2,48,,21,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",97,,,96,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",6,,1,5,,,
"Obreros construc.,conf., papel, fab., instr. (068)",1,,,1,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",226,12,14,32,2,81,85
"Ocupación no especificada (071)",26,3,5,16,,2,
,,,,,,,
"RURAL (072)",8631,575,372,4999,32,2628,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",20,20,,,,,
"Profes., científicos e intelectuales (074)",489,440,,48,,1,
"Técnicos de nivel medio y trab. asimilados (075)",48,37,,6,3,2,
"Jefes y empleados de oficina (076)",24,23,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",142,4,2,119,7,10,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",4615,10,2,4585,15,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",75,,28,42,3,2,
"Obreros construc.,conf., papel, fab., instr. (080)",99,1,36,43,2,17,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2937,14,304,16,,2578,25
"Otra (082)",23,23,,,,,
"Ocupación no especificada (083)",159,3,,140,2,14,
"Hombres (084)",4944,423,303,3635,29,550,4
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",19,19,,,,,
"Profes., científicos e intelectuales (086)",341,308,,32,,1,
"Técnicos de nivel medio y trab. asimilados (087)",42,31,,6,3,2,
"Jefes y empleados de oficina (088)",22,21,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",88,3,,75,7,3,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3421,5,2,3397,14,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",69,,26,38,3,2,
"Obreros construc.,conf., papel, fab., instr. (092)",98,1,35,43,2,17,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",779,9,240,9,,517,4
"Otra (094)",23,23,,,,,
"Ocupación no especificada (095)",42,3,,35,,4,
"Mujeres (096)",3687,152,69,1364,3,2078,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",148,132,,16,,,
"Técnicos de nivel medio y trab. asimilados (099)",6,6,,,,,
"Jefes y empleados de oficina (100)",2,2,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",54,1,2,44,,7,
