"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",919,13,479,254,138,35
"Conviviente (001)",263,,113,110,36,4
"Separado(a) (002)",40,,12,15,11,2
"Casado(a) (003)",154,,23,56,58,17
"Viudo(a) (004)",22,,1,2,8,11
"Divorciado(a) (005)",4,,1,2,1,
"Soltero(a) (006)",436,13,329,69,24,1
"Hombres (008)",588,7,305,147,103,26
"Conviviente (009)",166,,67,68,28,3
"Separado(a) (010)",17,,2,7,7,1
"Casado(a) (011)",98,,12,27,45,14
"Viudo(a) (012)",12,,,,5,7
"Divorciado(a) (013)",2,,1,,1,
"Soltero(a) (014)",293,7,223,45,17,1
"Mujeres (016)",331,6,174,107,35,9
"Conviviente (017)",97,,46,42,8,1
"Separado(a) (018)",23,,10,8,4,1
"Casado(a) (019)",56,,11,29,13,3
"Viudo(a) (020)",10,,1,2,3,4
"Divorciado(a) (021)",2,,,2,,
"Soltero(a) (022)",143,6,106,24,7,
,,,,,,
"AREA URBANA (024)",796,12,411,227,123,23
"Conviviente (025)",230,,94,99,33,4
"Separado(a) (026)",38,,12,15,9,2
"Casado(a) (027)",127,,21,47,50,9
"Viudo(a) (028)",19,,1,2,8,8
"Divorciado(a) (029)",4,,1,2,1,
"Soltero(a) (030)",378,12,282,62,22,
"Hombres (032)",493,7,255,127,88,16
"Conviviente (033)",140,,52,60,25,3
"Separado(a) (034)",15,,2,7,5,1
"Casado(a) (035)",74,,10,20,37,7
"Viudo(a) (036)",10,,,,5,5
"Divorciado(a) (037)",2,,1,,1,
"Soltero(a) (038)",252,7,190,40,15,
"Mujeres (040)",303,5,156,100,35,7
"Conviviente (041)",90,,42,39,8,1
"Separado(a) (042)",23,,10,8,4,1
"Casado(a) (043)",53,,11,27,13,2
"Viudo(a) (044)",9,,1,2,3,3
"Divorciado(a) (045)",2,,,2,,
"Soltero(a) (046)",126,5,92,22,7,
,,,,,,
"AREA RURAL (048)",123,1,68,27,15,12
"Conviviente (049)",33,,19,11,3,
"Separado(a) (050)",2,,,,2,
"Casado(a) (051)",27,,2,9,8,8
"Viudo(a) (052)",3,,,,,3
"Soltero(a) (054)",58,1,47,7,2,1
"Hombres (056)",95,,50,20,15,10
"Conviviente (057)",26,,15,8,3,
"Separado(a) (058)",2,,,,2,
"Casado(a) (059)",24,,2,7,8,7
"Viudo(a) (060)",2,,,,,2
"Soltero(a) (062)",41,,33,5,2,1
"Mujeres (064)",28,1,18,7,,2
"Conviviente (065)",7,,4,3,,
"Casado(a) (067)",3,,,2,,1
"Viudo(a) (068)",1,,,,,1
"Soltero(a) (070)",17,1,14,2,,
