"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCAVELICA (000)",44435,8309,4027,22172,260,9239,428
"Agric., ganadería, caza y silvicultura (001)",24076,35,869,14720,80,8372,
"Pesca (002)",18,2,5,3,3,5,
"Explotación de minas y canteras (003)",938,104,797,29,7,1,
"Industrias manufactureras (004)",2097,32,240,1629,36,160,
"Suministro de electricidad, gas y agua (005)",64,42,22,,,,
"Construcción (006)",1679,92,1114,438,20,15,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3831,261,56,3036,51,427,
"Venta, mant.y rep. veh.autom y motoc. (008)",205,17,39,126,8,15,
"Comercio al por mayor (009)",136,24,7,87,6,12,
"Comercio al por menor (010)",3490,220,10,2823,37,400,
"Hoteles y restaurantes (011)",989,262,67,569,29,62,
"Trans., almac. y comunicaciones (012)",1176,266,179,696,10,25,
"Intermediación financiera (013)",77,75,1,1,,,
"Activid.inmobil., empres. y alquileres (014)",811,562,17,204,11,17,
"Admin.pub. y defensa; p. segur soc.afil (015)",2205,1794,411,,,,
"Enseñanza (016)",3577,3450,9,110,1,7,
"Servicios sociales y de salud (017)",979,929,15,34,1,,
"Otras activ. serv.comun.soc y personales (018)",691,227,23,424,7,10,
"Hogares privados con servicio doméstico (019)",428,,,,,,428
"Actividad economica no especificada (021)",799,176,202,279,4,138,
"Hombres (022)",27284,4779,3580,15738,171,2990,26
"Agric., ganadería, caza y silvicultura (023)",15517,26,722,12031,53,2685,
"Pesca (024)",15,2,4,2,3,4,
"Explotación de minas y canteras (025)",923,97,789,29,7,1,
"Industrias manufactureras (026)",826,22,192,547,21,44,
"Suministro de electricidad, gas y agua (027)",59,37,22,,,,
"Construcción (028)",1612,81,1066,432,20,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1621,122,53,1325,26,95,
"Venta, mant.y rep. veh.autom y motoc. (030)",183,12,37,116,8,10,
"Comercio al por mayor (031)",79,11,6,57,5,,
"Comercio al por menor (032)",1359,99,10,1152,13,85,
"Hoteles y restaurantes (033)",369,145,48,135,12,29,
"Trans., almac. y comunicaciones (034)",1106,223,171,686,8,18,
"Intermediación financiera (035)",48,46,1,1,,,
"Activid.inmobil., empres. y alquileres (036)",615,407,14,175,11,8,
"Admin.pub. y defensa; p. segur soc.afil (037)",1563,1256,307,,,,
"Enseñanza (038)",1859,1802,7,45,1,4,
"Servicios sociales y de salud (039)",316,290,3,22,1,,
"Otras activ. serv.comun.soc y personales (040)",319,129,9,169,6,6,
"Hogares privados con servicio doméstico (041)",26,,,,,,26
"Actividad economica no especificada (043)",490,94,172,139,2,83,
"Mujeres (044)",17151,3530,447,6434,89,6249,402
"Agric., ganadería, caza y silvicultura (045)",8559,9,147,2689,27,5687,
"Pesca (046)",3,,1,1,,1,
"Explotación de minas y canteras (047)",15,7,8,,,,
"Industrias manufactureras (048)",1271,10,48,1082,15,116,
"Suministro de electricidad, gas y agua (049)",5,5,,,,,
"Construcción (050)",67,11,48,6,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2210,139,3,1711,25,332,
"Venta, mant.y rep. veh.autom y motoc. (052)",22,5,2,10,,5,
"Comercio al por mayor (053)",57,13,1,30,1,12,
"Comercio al por menor (054)",2131,121,,1671,24,315,
"Hoteles y restaurantes (055)",620,117,19,434,17,33,
"Trans., almac. y comunicaciones (056)",70,43,8,10,2,7,
"Intermediación financiera (057)",29,29,,,,,
"Activid.inmobil., empres. y alquileres (058)",196,155,3,29,,9,
"Admin.pub. y defensa; p. segur soc.afil (059)",642,538,104,,,,
"Enseñanza (060)",1718,1648,2,65,,3,
"Servicios sociales y de salud (061)",663,639,12,12,,,
"Otras activ. serv.comun.soc y personales (062)",372,98,14,255,1,4,
"Hogares privados con servicio doméstico (063)",402,,,,,,402
"Actividad economica no especificada (065)",309,82,30,140,2,55,
,,,,,,,
"URBANA (066)",18330,7559,2463,6805,174,996,333
"Agric., ganadería, caza y silvicultura (067)",2205,23,210,1509,30,433,
"Pesca (068)",11,2,4,1,3,1,
"Explotación de minas y canteras (069)",629,93,510,23,3,,
"Industrias manufactureras (070)",938,28,196,631,25,58,
"Suministro de electricidad, gas y agua (071)",52,38,14,,,,
"Construcción (072)",1191,83,775,308,16,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3179,220,46,2505,46,362,
"Venta, mant.y rep. veh.autom y motoc. (074)",184,16,34,111,8,15,
"Comercio al por mayor (075)",102,17,7,61,6,11,
"Comercio al por menor (076)",2893,187,5,2333,32,336,
"Hoteles y restaurantes (077)",880,237,58,506,24,55,
"Trans., almac. y comunicaciones (078)",931,245,118,540,9,19,
"Intermediación financiera (079)",76,74,1,1,,,
"Activid.inmobil., empres. y alquileres (080)",768,529,13,203,8,15,
"Admin.pub. y defensa; p. segur soc.afil (081)",1983,1678,305,,,,
"Enseñanza (082)",3236,3137,9,84,1,5,
"Servicios sociales y de salud (083)",869,825,14,29,1,,
"Otras activ. serv.comun.soc y personales (084)",603,219,20,349,7,8,
"Hogares privados con servicio doméstico (085)",333,,,,,,333
"Actividad economica no especificada (087)",446,128,170,116,1,31,
"Hombres (088)",10967,4266,2163,4036,117,367,18
"Agric., ganadería, caza y silvicultura (089)",1618,15,164,1227,24,188,
"Pesca (090)",10,2,3,1,3,1,
"Explotación de minas y canteras (091)",617,86,505,23,3,,
"Industrias manufactureras (092)",662,18,156,442,17,29,
"Suministro de electricidad, gas y agua (093)",47,33,14,,,,
"Construcción (094)",1145,72,745,304,16,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1245,99,43,1005,22,76,
"Venta, mant.y rep. veh.autom y motoc. (096)",164,11,32,103,8,10,
"Comercio al por mayor (097)",51,6,6,34,5,,
"Comercio al por menor (098)",1030,82,5,868,9,66,
"Hoteles y restaurantes (099)",324,133,42,113,9,27,
"Trans., almac. y comunicaciones (100)",863,204,110,530,7,12,
"Intermediación financiera (101)",47,45,1,1,,,
"Activid.inmobil., empres. y alquileres (102)",584,385,10,174,8,7,
"Admin.pub. y defensa; p. segur soc.afil (103)",1368,1161,207,,,,
"Enseñanza (104)",1620,1575,7,34,1,3,
"Servicios sociales y de salud (105)",271,248,3,19,1,,
"Otras activ. serv.comun.soc y personales (106)",253,124,8,111,6,4,
"Hogares privados con servicio doméstico (107)",18,,,,,,18
"Actividad economica no especificada (109)",275,66,145,52,,12,
"Mujeres (110)",7363,3293,300,2769,57,629,315
"Agric., ganadería, caza y silvicultura (111)",587,8,46,282,6,245,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",12,7,5,,,,
"Industrias manufactureras (114)",276,10,40,189,8,29,
"Suministro de electricidad, gas y agua (115)",5,5,,,,,
"Construcción (116)",46,11,30,4,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1934,121,3,1500,24,286,
