"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PUNO (000)",217799,8278,21739,23994,22683,40384,31639,50934,18148
"Sabe leer y escribir (001)",188216,,17417,23887,22601,40061,30994,43934,9322
"No sabe leer y escribir (002)",29583,8278,4322,107,82,323,645,7000,8826
"Hombres (004)",107174,4200,11149,12577,11487,19749,14858,24467,8687
"Sabe leer y escribir (005)",97294,,8925,12521,11455,19643,14728,23503,6519
"No sabe leer y escribir (006)",9880,4200,2224,56,32,106,130,964,2168
"Mujeres (008)",110625,4078,10590,11417,11196,20635,16781,26467,9461
"Sabe leer y escribir (009)",90922,,8492,11366,11146,20418,16266,20431,2803
"No sabe leer y escribir (010)",19703,4078,2098,51,50,217,515,6036,6658
,,,,,,,,,
"URBANA (012)",129971,4659,12692,14070,14360,26844,20913,29910,6523
"Sabe leer y escribir (013)",118666,,10364,14023,14333,26731,20717,28023,4475
"No sabe leer y escribir (014)",11305,4659,2328,47,27,113,196,1887,2048
"Hombres (016)",63651,2326,6461,7325,7241,13114,9693,14456,3035
"Sabe leer y escribir (017)",59505,,5275,7303,7226,13084,9652,14264,2701
"No sabe leer y escribir (018)",4146,2326,1186,22,15,30,41,192,334
"Mujeres (020)",66320,2333,6231,6745,7119,13730,11220,15454,3488
"Sabe leer y escribir (021)",59161,,5089,6720,7107,13647,11065,13759,1774
"No sabe leer y escribir (022)",7159,2333,1142,25,12,83,155,1695,1714
,,,,,,,,,
"RURAL (024)",87828,3619,9047,9924,8323,13540,10726,21024,11625
"Sabe leer y escribir (025)",69550,,7053,9864,8268,13330,10277,15911,4847
"No sabe leer y escribir (026)",18278,3619,1994,60,55,210,449,5113,6778
"Hombres (028)",43523,1874,4688,5252,4246,6635,5165,10011,5652
"Sabe leer y escribir (029)",37789,,3650,5218,4229,6559,5076,9239,3818
"No sabe leer y escribir (030)",5734,1874,1038,34,17,76,89,772,1834
"Mujeres (032)",44305,1745,4359,4672,4077,6905,5561,11013,5973
"Sabe leer y escribir (033)",31761,,3403,4646,4039,6771,5201,6672,1029
"No sabe leer y escribir (034)",12544,1745,956,26,38,134,360,4341,4944
