"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PUERTO INCA (000)",10588,666,11,5845,3116,193,313,101,343
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",16,,,5,6,1,4,,
"Profes., científicos e intelectuales (002)",429,,,,4,22,133,18,252
"Técnicos de nivel medio ytrab.asimilados (003)",99,,,7,10,10,36,23,13
"Jefes y empleados de oficina (004)",76,,,,22,7,17,6,24
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",463,12,,202,191,30,10,7,11
"Agricult.trabaj. calif.agrop. y pesquros (006)",4894,381,3,3048,1351,47,34,17,13
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",288,5,1,119,132,13,11,6,1
"Obreros. construc., conf., papel, fab., instr (008)",262,3,,74,154,11,7,8,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",3870,244,6,2311,1195,46,40,14,14
"Otra (010)",26,,,,1,2,16,,7
"Ocupación no especificada (011)",165,21,1,79,50,4,5,2,3
"Hombres (012)",8586,427,9,4798,2695,154,209,83,211
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",13,,,4,5,1,3,,
"Profes., científicos e intelectuales (014)",238,,,,3,12,71,14,138
"Técnicos de nivel medio ytrab.asimilados (015)",68,,,6,7,9,20,16,10
"Jefes y empleados de oficina (016)",47,,,,14,3,9,2,19
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",193,2,,73,85,16,8,5,4
"Agricult.trabaj. calif.agrop. y pesquros (018)",4585,299,3,2874,1301,47,32,17,12
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",269,4,1,113,121,13,10,6,1
"Obreros. construc., conf., papel, fab., instr (020)",260,3,,73,153,11,7,8,5
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2847,117,5,1642,987,38,33,13,12
"Otra (022)",26,,,,1,2,16,,7
"Ocupación no especificada (023)",40,2,,13,18,2,,2,3
"Mujeres (024)",2002,239,2,1047,421,39,104,18,132
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",3,,,1,1,,1,,
"Profes., científicos e intelectuales (026)",191,,,,1,10,62,4,114
"Técnicos de nivel medio ytrab.asimilados (027)",31,,,1,3,1,16,7,3
"Jefes y empleados de oficina (028)",29,,,,8,4,8,4,5
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",270,10,,129,106,14,2,2,7
"Agricult.trabaj. calif.agrop. y pesquros (030)",309,82,,174,50,,2,,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",19,1,,6,11,,1,,
"Obreros. construc., conf., papel, fab., instr (032)",2,,,1,1,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",1023,127,1,669,208,8,7,1,2
"Ocupación no especificada (035)",125,19,1,66,32,2,5,,
,,,,,,,,,
"URBANA (036)",2135,60,,743,822,89,178,58,185
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",12,,,5,3,,4,,
"Profes., científicos e intelectuales (038)",194,,,,1,7,59,7,120
"Técnicos de nivel medio ytrab.asimilados (039)",71,,,5,8,8,26,14,10
