"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MANU (000)",10064,1832,3414,3712,329,501,276
"Sin nivel (001)",548,36,144,294,18,45,11
"Educación inicial (002)",28,5,12,8,,2,1
"Primaria (003)",2398,221,862,1024,75,127,89
"Secundaria (004)",4851,801,1928,1590,157,229,146
"Superior no univ. incompleta (005)",755,166,203,303,16,48,19
"Superior no univ. completa (006)",677,271,128,220,24,27,7
"Superior univ. incompleta (007)",351,94,72,151,20,13,1
"Superior univ. completa (008)",456,238,65,122,19,10,2
"Hombres (010)",7221,946,3227,2490,241,257,60
"Sin nivel (011)",332,10,127,162,11,20,2
"Educación inicial (012)",15,2,8,4,,1,
"Primaria (013)",1659,85,809,638,56,53,18
"Secundaria (014)",3609,399,1836,1103,115,127,29
"Superior no univ. incompleta (015)",567,98,192,229,13,28,7
"Superior no univ. completa (016)",450,144,123,149,19,13,2
"Superior univ. incompleta (017)",276,63,71,118,14,9,1
"Superior univ. completa (018)",313,145,61,87,13,6,1
"Mujeres (020)",2843,886,187,1222,88,244,216
"Sin nivel (021)",216,26,17,132,7,25,9
"Educación inicial (022)",13,3,4,4,,1,1
"Primaria (023)",739,136,53,386,19,74,71
"Secundaria (024)",1242,402,92,487,42,102,117
"Superior no univ. incompleta (025)",188,68,11,74,3,20,12
"Superior no univ. completa (026)",227,127,5,71,5,14,5
"Superior univ. incompleta (027)",75,31,1,33,6,4,
"Superior univ. completa (028)",143,93,4,35,6,4,1
,,,,,,,
"URBANA (030)",3160,866,563,1393,73,158,107
"Sin nivel (031)",138,11,25,89,4,5,4
"Educación inicial (032)",4,1,1,2,,,
"Primaria (033)",627,95,136,316,15,42,23
"Secundaria (034)",1422,342,295,614,29,76,66
"Superior no univ. incompleta (035)",307,92,49,139,5,13,9
"Superior no univ. completa (036)",274,132,23,97,10,9,3
"Superior univ. incompleta (037)",151,46,23,73,4,5,
"Superior univ. completa (038)",237,147,11,63,6,8,2
"Hombres (040)",1951,452,518,847,47,69,18
"Sin nivel (041)",60,2,19,34,2,2,1
"Educación inicial (042)",2,,1,1,,,
"Primaria (043)",338,39,125,147,10,12,5
"Secundaria (044)",921,180,272,404,19,39,7
"Superior no univ. incompleta (045)",206,48,46,100,4,5,3
"Superior no univ. completa (046)",167,68,22,63,9,4,1
"Superior univ. incompleta (047)",116,30,23,59,1,3,
"Superior univ. completa (048)",141,85,10,39,2,4,1
"Mujeres (050)",1209,414,45,546,26,89,89
"Sin nivel (051)",78,9,6,55,2,3,3
"Educación inicial (052)",2,1,,1,,,
"Primaria (053)",289,56,11,169,5,30,18
"Secundaria (054)",501,162,23,210,10,37,59
"Superior no univ. incompleta (055)",101,44,3,39,1,8,6
"Superior no univ. completa (056)",107,64,1,34,1,5,2
"Superior univ. incompleta (057)",35,16,,14,3,2,
"Superior univ. completa (058)",96,62,1,24,4,4,1
,,,,,,,
"RURAL (060)",6904,966,2851,2319,256,343,169
"Sin nivel (061)",410,25,119,205,14,40,7
"Educación inicial (062)",24,4,11,6,,2,1
"Primaria (063)",1771,126,726,708,60,85,66
"Secundaria (064)",3429,459,1633,976,128,153,80
"Superior no univ. incompleta (065)",448,74,154,164,11,35,10
"Superior no univ. completa (066)",403,139,105,123,14,18,4
"Superior univ. incompleta (067)",200,48,49,78,16,8,1
"Superior univ. completa (068)",219,91,54,59,13,2,
"Hombres (070)",5270,494,2709,1643,194,188,42
"Sin nivel (071)",272,8,108,128,9,18,1
"Educación inicial (072)",13,2,7,3,,1,
"Primaria (073)",1321,46,684,491,46,41,13
"Secundaria (074)",2688,219,1564,699,96,88,22
"Superior no univ. incompleta (075)",361,50,146,129,9,23,4
"Superior no univ. completa (076)",283,76,101,86,10,9,1
"Superior univ. incompleta (077)",160,33,48,59,13,6,1
"Superior univ. completa (078)",172,60,51,48,11,2,
"Mujeres (080)",1634,472,142,676,62,155,127
"Sin nivel (081)",138,17,11,77,5,22,6
"Educación inicial (082)",11,2,4,3,,1,1
"Primaria (083)",450,80,42,217,14,44,53
"Secundaria (084)",741,240,69,277,32,65,58
"Superior no univ. incompleta (085)",87,24,8,35,2,12,6
"Superior no univ. completa (086)",120,63,4,37,4,9,3
"Superior univ. incompleta (087)",40,15,1,19,3,2,
"Superior univ. completa (088)",47,31,3,11,2,,
