"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PACHITEA (000)",12762,59944,1988,8258,10774,51686
"Casa independiente (001)",11844,56059,1911,7968,9933,48091
"Departamento en edificio (002)",12,52,12,52,,
"Vivienda en quinta (003)",22,75,22,75,,
"Vivienda en casa de vecindad (004)",42,161,42,161,,
"Choza o cabaña (005)",836,3579,,,836,3579
"Local no dest.para hab. humana (007)",3,13,1,2,2,11
"Otro tipo (008)",3,5,,,3,5
