"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PASCO (000)",49019,29048,4650,5498,9823
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",118,2,19,22,75
"Profes., científicos e intelectuales (002)",5403,1112,1157,1441,1693
"Técnicos de nivel medio y trab. asimilados (003)",2322,951,274,313,784
"Jefes y empleados de oficina (004)",2081,441,239,280,1121
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5181,4317,323,285,256
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7477,7277,197,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",6686,2244,717,1234,2491
"Obreros construc.,conf.,papel, fab., instr. (008)",5930,3077,661,781,1411
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",11705,8408,782,834,1681
"Otra (010)",87,,,,87
"Ocupación no especificada (011)",2029,1219,281,305,224
"Hombres (012)",35763,19763,3441,4450,8109
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",88,2,9,18,59
"Profes., científicos e intelectuales (014)",2901,542,577,786,996
"Técnicos de nivel medio y trab. asimilados (015)",1671,641,211,267,552
"Jefes y empleados de oficina (016)",1129,188,116,178,647
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2299,1631,207,245,216
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6575,6395,177,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",6341,1997,676,1208,2460
"Obreros construc.,conf.,papel, fab., instr. (020)",5814,3012,646,759,1397
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7647,4800,612,730,1505
"Otra (022)",86,,,,86
"Ocupación no especificada (023)",1212,555,210,256,191
"Mujeres (024)",13256,9285,1209,1048,1714
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",30,,10,4,16
"Profes., científicos e intelectuales (026)",2502,570,580,655,697
"Técnicos de nivel medio y trab. asimilados (027)",651,310,63,46,232
"Jefes y empleados de oficina (028)",952,253,123,102,474
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2882,2686,116,40,40
"Agricult.trabaj.calif.agrop.y pesqueros (030)",902,882,20,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",345,247,41,26,31
"Obreros construc.,conf.,papel, fab., instr. (032)",116,65,15,22,14
