"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN ROMAN (000)",74508,62891,11617
"Casa independiente (001)",66442,55626,10816
"Departamento en edificio (002)",788,788,
"Vivienda en quinta (003)",774,774,
"Vivienda en casa de vecindad (004)",5409,5409,
"Choza o cabaña (005)",800,,800
"Vivienda improvisada (006)",222,222,
"Local no dest.para hab. humana (007)",54,53,1
"Otro tipo (008)",19,19,
