"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PAITA (000)",107818,102971,4847
"Casa independiente (001)",107208,102388,4820
"Departamento en edificio (002)",127,127,
"Vivienda en quinta (003)",41,41,
"Vivienda en casa de vecindad (004)",123,123,
"Choza o cabaña (005)",24,,24
"Vivienda improvisada (006)",215,215,
"Local no dest.para hab. humana (007)",55,52,3
"Otro tipo (008)",25,25,
