"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MARISCAL CACERES (000)",17155,48591,44159,,963,90.9,2
"De 12 a 14 años (001)",1906,22,22,,7,100,31.8
"De 15 a 19 años (002)",2501,777,755,183,97.2,23.6,
"De 20 a 24 años (003)",2002,2317,2253,271,97.2,11.7,
"De 25 a 29 años (004)",1866,3689,3578,198,97,5.4,
"De 30 a 34 años (005)",1726,4866,4664,154,95.8,3.2,
"De 35 a 39 años (006)",1634,5783,5487,108,94.9,1.9,
"De 40 a 44 años (007)",1373,5775,5390,37,93.3,0.6,
"De 45 a 49 años (008)",1096,5402,4956,5,91.7,0.1,
"De 50 y más años (009)",3051,19960,17054,,85.4,,
"Sin nivel (010)",1263,7559,6325,44,83.7,0.6,
"De 12 a 14 años (011)",29,,,,,,
"De 15 a 19 años (012)",41,22,21,1,95.5,4.5,
"De 20 a 24 años (013)",43,73,69,5,94.5,6.8,
"De 25 a 29 años (014)",76,191,185,9,96.9,4.7,
"De 30 a 34 años (015)",103,379,357,13,94.2,3.4,
"De 35 a 39 años (016)",116,518,490,9,94.6,1.7,
"De 40 a 44 años (017)",102,579,519,7,89.6,1.2,
"De 45 a 49 años (018)",135,878,755,,86,,
"De 50 y más años (019)",618,4919,3929,,79.9,,
"Educacion Inicial (020)",24,41,37,2,90.2,4.9,
"De 12 a 14 años (021)",5,,,,,,
"De 15 a 19 años (022)",5,3,3,,100,,
"De 20 a 24 años (023)",3,4,4,1,100,25,
"De 25 a 29 años (024)",3,6,5,,83.3,,
"De 30 a 34 años (025)",5,16,14,,87.5,,
"De 35 a 39 años (026)",3,12,11,1,91.7,8.3,
"Primaria (030)",7846,28786,26109,460,90.7,1.6,
"De 12 a 14 años (031)",937,14,14,4,100,28.6,
"De 15 a 19 años (032)",696,410,393,79,95.9,19.3,
"De 20 a 24 años (033)",749,1219,1183,119,97,9.8,
"De 25 a 29 años (034)",836,2155,2077,105,96.4,4.9,
"De 30 a 34 años (035)",811,2746,2613,74,95.2,2.7,
"De 35 a 39 años (036)",778,3256,3060,55,94,1.7,
"De 40 a 44 años (037)",670,3352,3104,20,92.6,0.6,
"De 45 a 49 años (038)",546,3108,2836,4,91.2,0.1,
"De 50 y más años (039)",1823,12526,10829,,86.5,,
