"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia COTABAMBAS (000)",14907,14550,4110,1402,1416,1373,2456,1946,1129,718,357,49303
"De 12 a 14 años (001)",1914,1910,1898,7,5,,,,,,4,17
"De 15 a 19 años (002)",1765,1724,1437,235,43,6,3,,,,41,351
"De 20 a 24 años (003)",1316,1232,253,453,356,134,32,4,,,84,1724
"De 25 a 29 años (004)",1431,1346,107,252,360,327,258,36,6,,85,3330
"De 30 a 34 años (005)",1361,1322,61,127,189,272,453,169,44,7,39,4821
"De 35 a 39 años (006)",1263,1250,50,65,105,180,390,315,110,35,13,5906
"De 40 a 44 años (007)",1179,1169,31,35,70,87,325,325,207,89,10,6718
"De 45 a 49 años (008)",966,953,27,41,48,82,232,253,170,100,13,5610
"De 50 y más años (009)",3712,3644,246,187,240,285,763,844,592,487,68,20826
"Sin nivel (010)",5889,5807,358,325,468,558,1435,1274,820,569,82,30824
"De 12 a 14 años (011)",18,17,16,,1,,,,,,1,2
"De 15 a 19 años (012)",89,88,45,27,13,3,,,,,1,62
"De 20 a 24 años (013)",207,195,25,49,74,36,11,,,,12,350
"De 25 a 29 años (014)",319,315,14,31,67,85,98,18,2,,4,971
"De 30 a 34 años (015)",466,459,10,14,46,74,200,81,29,5,7,2017
"De 35 a 39 años (016)",576,573,23,24,17,66,187,159,73,24,3,3010
"De 40 a 44 años (017)",659,653,17,16,29,32,175,191,129,64,6,3987
"De 45 a 49 años (018)",578,574,16,21,31,40,131,149,114,72,4,3514
"De 50 y más años (019)",2977,2933,192,143,190,222,633,676,473,404,44,16911
"Educacion Inicial (020)",60,60,16,5,3,11,16,7,2,,,178
"De 12 a 14 años (021)",14,14,14,,,,,,,,,
"De 15 a 19 años (022)",6,6,1,2,2,1,,,,,,9
