"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5459,57,1767,1828,1391,416
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",11,,2,2,7,
"Profes., científicos e intelectuales (002)",565,,143,294,128,
"Técnicos de nivel medio y trab.asimilados (003)",82,,28,43,10,1
"Jefes y empleados de oficina (004)",206,,99,70,33,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",276,1,77,116,72,10
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1988,6,477,647,612,246
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",209,,122,50,26,11
"Obreros construc., conf., papel, fab., instr. (008)",157,,49,58,43,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1320,45,528,351,322,74
"Otra (010)",1,,,,1,
"Ocupación no especificada (011)",277,1,74,91,73,38
"Desocupado (012)",367,4,168,106,64,25
"Hombres (013)",4045,40,1286,1322,1064,333
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",9,,2,2,5,
"Profes., científicos e intelectuales (015)",350,,75,182,93,
"Técnicos de nivel medio y trab.asimilados (016)",40,,12,20,7,1
"Jefes y empleados de oficina (017)",106,,42,36,25,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",109,1,34,42,30,2
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1869,6,452,608,567,236
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",181,,101,49,23,8
"Obreros construc., conf., papel, fab., instr. (021)",157,,49,58,43,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",839,30,367,215,190,37
"Otra (023)",1,,,,1,
"Ocupación no especificada (024)",66,,19,14,17,16
"Desocupado (025)",318,3,133,96,63,23
"Mujeres (026)",1414,17,481,506,327,83
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",2,,,,2,
"Profes., científicos e intelectuales (028)",215,,68,112,35,
"Técnicos de nivel medio y trab.asimilados (029)",42,,16,23,3,
"Jefes y empleados de oficina (030)",100,,57,34,8,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",167,,43,74,42,8
"Agricult.trabaj. calif. agrop. y pesqueros (032)",119,,25,39,45,10
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",28,,21,1,3,3
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",481,15,161,136,132,37
