"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL NIETO (000)",31645,17497,2675,3581,7892
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",65,2,12,11,40
"Profes., científicos e intelectuales (002)",3833,643,527,1131,1532
"Técnicos de nivel medio y trab. asimilados (003)",2033,690,197,281,865
"Jefes y empleados de oficina (004)",1931,312,175,269,1175
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4064,3505,228,111,220
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3590,3474,108,6,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1889,1020,180,219,470
"Obreros construc.,conf.,papel, fab., instr. (008)",3283,1698,293,456,836
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",9197,5529,777,749,2142
"Otra (010)",457,,,,457
"Ocupación no especificada (011)",1303,624,178,348,153
"Hombres (012)",19464,9592,1718,2425,5729
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,2,4,6,31
"Profes., científicos e intelectuales (014)",1926,306,223,521,876
"Técnicos de nivel medio y trab. asimilados (015)",1358,432,139,195,592
"Jefes y empleados de oficina (016)",891,103,64,123,601
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1429,1036,123,82,188
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2548,2464,76,6,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1714,866,167,213,468
"Obreros construc.,conf.,papel, fab., instr. (020)",3191,1640,288,443,820
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5096,2412,507,567,1610
"Otra (022)",433,,,,433
"Ocupación no especificada (023)",835,331,127,269,108
"Mujeres (024)",12181,7905,957,1156,2163
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",22,,8,5,9
"Profes., científicos e intelectuales (026)",1907,337,304,610,656
"Técnicos de nivel medio y trab. asimilados (027)",675,258,58,86,273
"Jefes y empleados de oficina (028)",1040,209,111,146,574
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2635,2469,105,29,32
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1042,1010,32,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",175,154,13,6,2
"Obreros construc.,conf.,papel, fab., instr. (032)",92,58,5,13,16
