"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BONGARA (000)",8211,4247,3964
"Casa independiente (001)",7726,4029,3697
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",44,44,
"Vivienda en casa de vecindad (004)",148,148,
"Choza o cabaña (005)",265,,265
"Vivienda improvisada (006)",12,12,
"Local no dest.para hab. humana (007)",9,7,2
