"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PATAZ (000)",78383,2060,29195,19410,14149,9053,4516
"Hombres (001)",41638,1099,14948,10748,7995,4723,2125
"Mujeres (002)",36745,961,14247,8662,6154,4330,2391
"Viviendas particulares (003)",73667,2056,29171,17252,12122,8568,4498
"Hombres (004)",37142,1098,14931,8697,6039,4267,2110
"Mujeres (005)",36525,958,14240,8555,6083,4301,2388
"Viviendas colectivas (006)",4472,2,17,2066,1917,456,14
"Hombres (007)",4298,1,13,1974,1861,437,12
"Mujeres (008)",174,1,4,92,56,19,2
"Otro tipo (009)",244,2,7,92,110,29,4
"Hombres (010)",198,,4,77,95,19,3
"Mujeres (011)",46,2,3,15,15,10,1
,,,,,,,
"URBANA (012)",20462,437,6689,5720,4283,2324,1009
"Hombres (013)",10823,227,3377,3139,2393,1226,461
"Mujeres (014)",9639,210,3312,2581,1890,1098,548
"Viviendas particulares (015)",18855,434,6678,4952,3625,2163,1003
"Hombres (016)",9320,227,3370,2414,1771,1081,457
"Mujeres (017)",9535,207,3308,2538,1854,1082,546
"Viviendas colectivas (018)",1466,1,4,724,597,138,2
"Hombres (019)",1395,,3,688,573,130,1
"Mujeres (020)",71,1,1,36,24,8,1
"Otro tipo (021)",141,2,7,44,61,23,4
"Hombres (022)",108,,4,37,49,15,3
"Mujeres (023)",33,2,3,7,12,8,1
,,,,,,,
"RURAL (024)",57921,1623,22506,13690,9866,6729,3507
"Hombres (025)",30815,872,11571,7609,5602,3497,1664
"Mujeres (026)",27106,751,10935,6081,4264,3232,1843
"Viviendas particulares (027)",54812,1622,22493,12300,8497,6405,3495
"Hombres (028)",27822,871,11561,6283,4268,3186,1653
"Mujeres (029)",26990,751,10932,6017,4229,3219,1842
"Viviendas colectivas (030)",3006,1,13,1342,1320,318,12
"Hombres (031)",2903,1,10,1286,1288,307,11
"Mujeres (032)",103,,3,56,32,11,1
"Otro tipo (033)",103,,,48,49,6,
"Hombres (034)",90,,,40,46,4,
"Mujeres (035)",13,,,8,3,2,
