"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASCOPE (000)",37960,23660,4139,4269,5892
"Agric., ganadería, caza y silvicultura (001)",11389,6798,1558,1579,1454
"Pesca (002)",406,259,38,28,81
"Explotación de minas y canteras (003)",68,7,4,17,40
"Industrias manufactureras (004)",4041,1609,433,532,1467
"Suministro de electricidad, gas y agua (005)",86,26,9,30,21
"Construcción (006)",2436,1726,402,209,99
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6412,5724,337,172,179
"Venta, mant.y rep. veh.autom y motoc. (008)",706,450,75,59,122
"Comercio al por mayor (009)",394,258,38,41,57
"Comercio al por menor (010)",5312,5016,224,72,
"Hoteles y restaurantes (011)",1649,1488,112,37,12
"Trans., almac. y comunicaciones (012)",3604,2696,313,294,301
"Intermediación financiera (013)",128,42,14,39,33
"Activid.inmobil., empres. y alquileres (014)",1661,706,260,307,388
"Admin.pub. y defensa; p. segur soc.afil (015)",1145,,,,1145
"Enseñanza (016)",1971,380,471,857,263
"Servicios sociales y de salud (017)",536,161,28,34,313
"Otras activ. serv.comun.soc y personales (018)",823,639,84,73,27
"Hogares privados con servicio doméstico (019)",890,890,,,
"Actividad economica no especificada (021)",715,509,76,61,69
"Hombres (022)",27855,16370,3280,3350,4855
"Agric., ganadería, caza y silvicultura (023)",10575,6350,1420,1422,1383
"Pesca (024)",394,249,38,28,79
"Explotación de minas y canteras (025)",59,7,3,15,34
"Industrias manufactureras (026)",3531,1264,394,492,1381
"Suministro de electricidad, gas y agua (027)",70,24,5,25,16
"Construcción (028)",2384,1707,389,192,96
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3124,2621,204,134,165
"Venta, mant.y rep. veh.autom y motoc. (030)",661,420,70,55,116
"Comercio al por mayor (031)",247,142,29,27,49
"Comercio al por menor (032)",2216,2059,105,52,
"Hoteles y restaurantes (033)",369,322,27,16,4
"Trans., almac. y comunicaciones (034)",3396,2536,292,282,286
"Intermediación financiera (035)",76,19,9,28,20
"Activid.inmobil., empres. y alquileres (036)",1307,526,200,240,341
"Admin.pub. y defensa; p. segur soc.afil (037)",746,,,,746
"Enseñanza (038)",778,111,176,357,134
"Servicios sociales y de salud (039)",198,73,13,14,98
"Otras activ. serv.comun.soc y personales (040)",486,347,57,62,20
