"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia BOLIVAR (000)",16650,16228,309,113
"Hombres (001)",8607,8414,135,58
"Mujeres (002)",8043,7814,174,55
"Menores de 1 año (003)",434,337,67,30
"Hombres (004)",225,175,36,14
"Mujeres (005)",209,162,31,16
"De 1 a 5 años (006)",2339,2124,145,70
"Hombres (007)",1211,1098,74,39
"Mujeres (008)",1128,1026,71,31
"De 6 a 14 años (009)",4288,4260,25,3
"Hombres (010)",2211,2199,10,2
"Mujeres (011)",2077,2061,15,1
"De 15 a 29 años (012)",3672,3661,7,4
"Hombres (013)",1917,1909,6,2
"Mujeres (014)",1755,1752,1,2
"De 30 a 44 años (015)",2800,2790,7,3
"Hombres (016)",1407,1403,4,
"Mujeres (017)",1393,1387,3,3
"De 45 a 64 años (018)",2152,2137,14,1
"Hombres (019)",1155,1151,3,1
"Mujeres (020)",997,986,11,
"De 65 a más años (021)",965,919,44,2
"Hombres (022)",481,479,2,
"Mujeres (023)",484,440,42,2
,,,,
"URBANA (024)",5754,5692,46,16
"Hombres (025)",2907,2875,22,10
"Mujeres (026)",2847,2817,24,6
"Menores de 1 año (027)",124,108,11,5
"Hombres (028)",63,54,6,3
"Mujeres (029)",61,54,5,2
"De 1 a 5 años (030)",646,617,20,9
"Hombres (031)",340,323,11,6
"Mujeres (032)",306,294,9,3
"De 6 a 14 años (033)",1390,1388,1,1
"Hombres (034)",687,685,1,1
"Mujeres (035)",703,703,,
"De 15 a 29 años (036)",1271,1270,1,
"Hombres (037)",644,644,,
"Mujeres (038)",627,626,1,
"De 30 a 44 años (039)",1064,1060,3,1
"Hombres (040)",524,522,2,
"Mujeres (041)",540,538,1,1
"De 45 a 64 años (042)",893,891,2,
"Hombres (043)",476,475,1,
"Mujeres (044)",417,416,1,
"De 65 a más años (045)",366,358,8,
"Hombres (046)",173,172,1,
"Mujeres (047)",193,186,7,
,,,,
"RURAL (048)",10896,10536,263,97
"Hombres (049)",5700,5539,113,48
"Mujeres (050)",5196,4997,150,49
"Menores de 1 año (051)",310,229,56,25
"Hombres (052)",162,121,30,11
"Mujeres (053)",148,108,26,14
"De 1 a 5 años (054)",1693,1507,125,61
"Hombres (055)",871,775,63,33
"Mujeres (056)",822,732,62,28
"De 6 a 14 años (057)",2898,2872,24,2
"Hombres (058)",1524,1514,9,1
"Mujeres (059)",1374,1358,15,1
"De 15 a 29 años (060)",2401,2391,6,4
"Hombres (061)",1273,1265,6,2
"Mujeres (062)",1128,1126,,2
"De 30 a 44 años (063)",1736,1730,4,2
"Hombres (064)",883,881,2,
"Mujeres (065)",853,849,2,2
"De 45 a 64 años (066)",1259,1246,12,1
"Hombres (067)",679,676,2,1
"Mujeres (068)",580,570,10,
"De 65 a más años (069)",599,561,36,2
"Hombres (070)",308,307,1,
"Mujeres (071)",291,254,35,2
