"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANTA (000)",6008,4546,685,445,332
"Hombres (001)",4072,3077,489,324,182
"Mujeres (002)",1936,1469,196,121,150
"De 06 a 14 años (003)",95,82,11,2,
"Hombres (004)",61,51,9,1,
"Mujeres (005)",34,31,2,1,
"De 15 a 29 años (006)",1784,1215,293,191,85
"Hombres (007)",1250,850,204,150,46
"Mujeres (008)",534,365,89,41,39
"De 30 a 44 años (009)",1890,1331,237,183,139
"Hombres (010)",1237,870,167,124,76
"Mujeres (011)",653,461,70,59,63
"De 45 a 64 años (012)",1583,1293,128,63,99
"Hombres (013)",1062,867,97,44,54
"Mujeres (014)",521,426,31,19,45
"De 65 y más años (015)",656,625,16,6,9
"Hombres (016)",462,439,12,5,6
"Mujeres (017)",194,186,4,1,3
,,,,,
"URBANA (018)",2887,2324,172,129,262
"Hombres (019)",1845,1494,125,88,138
"Mujeres (020)",1042,830,47,41,124
"De 06 a 14 años (021)",48,47,1,,
"Hombres (022)",28,27,1,,
"Mujeres (023)",20,20,,,
"De 15 a 29 años (024)",729,567,72,39,51
"Hombres (025)",488,373,56,32,27
"Mujeres (026)",241,194,16,7,24
"De 30 a 44 años (027)",870,637,53,63,117
"Hombres (028)",524,392,35,36,61
"Mujeres (029)",346,245,18,27,56
"De 45 a 64 años (030)",839,692,38,22,87
"Hombres (031)",533,444,28,16,45
"Mujeres (032)",306,248,10,6,42
"De 65 y más años (033)",401,381,8,5,7
"Hombres (034)",272,258,5,4,5
"Mujeres (035)",129,123,3,1,2
,,,,,
"RURAL (036)",3121,2222,513,316,70
"Hombres (037)",2227,1583,364,236,44
"Mujeres (038)",894,639,149,80,26
"De 06 a 14 años (039)",47,35,10,2,
"Hombres (040)",33,24,8,1,
"Mujeres (041)",14,11,2,1,
"De 15 a 29 años (042)",1055,648,221,152,34
"Hombres (043)",762,477,148,118,19
"Mujeres (044)",293,171,73,34,15
"De 30 a 44 años (045)",1020,694,184,120,22
"Hombres (046)",713,478,132,88,15
"Mujeres (047)",307,216,52,32,7
"De 45 a 64 años (048)",744,601,90,41,12
"Hombres (049)",529,423,69,28,9
"Mujeres (050)",215,178,21,13,3
"De 65 y más años (051)",255,244,8,1,2
"Hombres (052)",190,181,7,1,1
"Mujeres (053)",65,63,1,,1
