"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ESPINAR (000)",22317,21272,6483,2441,2430,2035,3194,2161,1408,1120,1045,66051
"De 12 a 14 años (001)",2498,2484,2479,3,2,,,,,,14,7
"De 15 a 19 años (002)",3019,2946,2645,250,46,5,,,,,73,357
"De 20 a 24 años (003)",2646,2213,757,863,446,108,33,6,,,433,2255
"De 25 a 29 años (004)",2245,1974,186,514,615,396,250,11,2,,271,4085
"De 30 a 34 años (005)",2075,1990,94,296,484,455,514,125,15,7,85,5834
"De 35 a 39 años (006)",1855,1809,50,137,309,356,598,268,77,14,46,6964
"De 40 a 44 años (007)",1647,1619,52,82,152,209,483,367,196,78,28,8059
"De 45 a 49 años (008)",1325,1306,35,51,109,118,325,333,209,126,19,7398
"De 50 y más años (009)",5007,4931,185,245,267,388,991,1051,909,895,76,31092
"Sin nivel (010)",4320,4237,200,210,257,327,901,885,745,712,83,25911
"De 12 a 14 años (011)",7,7,7,,,,,,,,,
"De 15 a 19 años (012)",20,20,19,1,,,,,,,,1
"De 20 a 24 años (013)",41,36,16,11,4,1,2,2,,,5,42
"De 25 a 29 años (014)",61,58,7,9,14,13,14,1,,,3,141
"De 30 a 34 años (015)",107,103,3,13,10,20,42,13,1,1,4,375
"De 35 a 39 años (016)",134,126,7,5,12,10,47,28,12,5,8,603
"De 40 a 44 años (017)",232,227,7,13,12,16,65,49,44,21,5,1307
"De 45 a 49 años (018)",295,291,6,8,21,10,60,83,56,47,4,1888
"De 50 y más años (019)",3423,3369,128,150,184,257,671,709,632,638,54,21554
"Educacion Inicial (020)",37,34,14,3,4,5,1,6,1,,3,79
"De 12 a 14 años (021)",4,4,4,,,,,,,,,
"De 15 a 19 años (022)",5,5,5,,,,,,,,,
