"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia UTCUBAMBA (000)",36395,104541,95615,,2065,91.5,2
"De 12 a 14 años (001)",4114,21,18,,5,85.7,23.8
"De 15 a 19 años (002)",5294,1122,1109,296,98.8,26.4,
"De 20 a 24 años (003)",4513,4751,4648,555,97.8,11.7,
"De 25 a 29 años (004)",4205,7920,7754,485,97.9,6.1,
"De 30 a 34 años (005)",3724,10316,9983,365,96.8,3.5,
"De 35 a 39 años (006)",3352,12381,11894,248,96.1,2,
"De 40 a 44 años (007)",2672,12148,11504,92,94.7,0.8,
"De 45 a 49 años (008)",2205,11998,11097,19,92.5,0.2,
"De 50 y más años (009)",6316,43884,37608,,85.7,,
"PEA (010)",6913,17302,16088,211,93,1.2,
"De 12 a 14 años (011)",209,2,2,,100,,
"De 15 a 19 años (012)",781,131,129,24,98.5,18.3,
"De 20 a 24 años (013)",963,640,627,56,98,8.8,
"De 25 a 29 años (014)",882,1126,1101,43,97.8,3.8,
"De 30 a 34 años (015)",911,1930,1862,46,96.5,2.4,
"De 35 a 39 años (016)",921,2627,2533,32,96.4,1.2,
"De 40 a 44 años (017)",736,2727,2611,8,95.7,0.3,
"De 45 a 49 años (018)",549,2298,2122,2,92.3,0.1,
"De 50 y más años (019)",961,5821,5101,,87.6,,
"Ocupada (020)",6559,16942,15757,195,93,1.2,
"De 12 a 14 años (021)",176,2,2,,100,,
"De 15 a 19 años (022)",690,119,118,24,99.2,20.2,
"De 20 a 24 años (023)",880,608,595,47,97.9,7.7,
"De 25 a 29 años (024)",820,1071,1048,39,97.9,3.6,
"De 30 a 34 años (025)",877,1870,1804,44,96.5,2.4,
"De 35 a 39 años (026)",906,2577,2487,31,96.5,1.2,
"De 40 a 44 años (027)",724,2698,2588,8,95.9,0.3,
"De 45 a 49 años (028)",542,2261,2085,2,92.2,0.1,
"De 50 y más años (029)",944,5736,5030,,87.7,,
"Desocupada (030)",354,360,331,16,91.9,4.4,
"De 12 a 14 años (031)",33,,,,,,
"De 15 a 19 años (032)",91,12,11,,91.7,,
"De 20 a 24 años (033)",83,32,32,9,100,28.1,
"De 25 a 29 años (034)",62,55,53,4,96.4,7.3,
"De 30 a 34 años (035)",34,60,58,2,96.7,3.3,
"De 35 a 39 años (036)",15,50,46,1,92,2,
