"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ESPINAR (000)",16076,60806,6764,26878,9312,33928
"Casa independiente (001)",13662,52537,6683,26570,6979,25967
"Departamento en edificio (002)",10,40,10,40,,
"Vivienda en quinta (003)",15,105,15,105,,
"Vivienda en casa de vecindad (004)",33,109,33,109,,
"Choza o cabaña (005)",2323,7920,,,2323,7920
"Vivienda improvisada (006)",3,4,3,4,,
"Local no dest.para hab. humana (007)",27,81,18,45,9,36
"Otro tipo (008)",3,10,2,5,1,5
