"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BARRANCA (000)",119215,23203,36085,27255,22214,10458
"Sin nivel (001)",6049,266,429,892,2022,2440
"Educación inicial (002)",1350,1263,65,22,,
"Primaria (003)",40238,16321,3784,5218,8910,6005
"Secundaria (004)",49095,5353,22338,12916,7100,1388
"Superior no univ. incompleta (005)",4313,,2300,1342,572,99
"Superior no univ. completa (006)",5333,,1645,2405,1099,184
"Superior univ. incompleta (007)",5627,,3621,1295,647,64
"Superior univ. completa (008)",7210,,1903,3165,1864,278
"PEA (010)",52627,474,17444,18928,13551,2230
"Sin nivel (011)",1752,12,149,460,791,340
"Educación inicial (012)",44,6,27,11,,
"Primaria (013)",11848,279,2109,3192,4921,1347
"Secundaria (014)",24465,177,10331,8906,4687,364
"Superior no univ. incompleta (015)",2505,,1094,948,426,37
"Superior no univ. completa (016)",3650,,1098,1757,761,34
"Superior univ. incompleta (017)",2750,,1229,985,511,25
"Superior univ. completa (018)",5613,,1407,2669,1454,83
"Ocupada (020)",50480,426,16351,18347,13189,2167
"Sin nivel (021)",1699,9,138,448,769,335
"Educación inicial (022)",41,6,24,11,,
"Primaria (023)",11436,261,1994,3088,4790,1303
"Secundaria (024)",23319,150,9660,8612,4544,353
"Superior no univ. incompleta (025)",2429,,1052,922,419,36
"Superior no univ. completa (026)",3509,,1034,1702,740,33
"Superior univ. incompleta (027)",2641,,1156,960,500,25
"Superior univ. completa (028)",5406,,1293,2604,1427,82
