"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN ROMAN (000)",90010,69701,7115,6027,7167
"Hombres (001)",52209,38455,4710,4032,5012
"Mujeres (002)",37801,31246,2405,1995,2155
"De 06 a 14 años (003)",1270,1141,98,25,6
"Hombres (004)",715,634,64,15,2
"Mujeres (005)",555,507,34,10,4
"De 15 a 29 años (006)",30533,23698,3034,1827,1974
"Hombres (007)",17481,13137,1905,1157,1282
"Mujeres (008)",13052,10561,1129,670,692
"De 30 a 44 años (009)",34105,25306,2641,2862,3296
"Hombres (010)",19630,13695,1730,1871,2334
"Mujeres (011)",14475,11611,911,991,962
"De 45 a 64 años (012)",20684,16341,1251,1263,1829
"Hombres (013)",12362,9124,942,953,1343
"Mujeres (014)",8322,7217,309,310,486
"De 65 y más años (015)",3418,3215,91,50,62
"Hombres (016)",2021,1865,69,36,51
"Mujeres (017)",1397,1350,22,14,11
,,,,,
"URBANA (018)",81535,61816,6819,5920,6980
"Hombres (019)",47389,34095,4496,3944,4854
"Mujeres (020)",34146,27721,2323,1976,2126
"De 06 a 14 años (021)",1103,982,90,25,6
"Hombres (022)",625,549,59,15,2
"Mujeres (023)",478,433,31,10,4
"De 15 a 29 años (024)",28155,21574,2907,1774,1900
"Hombres (025)",16103,11954,1817,1113,1219
"Mujeres (026)",12052,9620,1090,661,681
"De 30 a 44 años (027)",31792,23179,2564,2828,3221
"Hombres (028)",18317,12521,1675,1846,2275
"Mujeres (029)",13475,10658,889,982,946
"De 45 a 64 años (030)",18226,14014,1174,1244,1794
"Hombres (031)",10988,7863,881,934,1310
"Mujeres (032)",7238,6151,293,310,484
"De 65 y más años (033)",2259,2067,84,49,59
"Hombres (034)",1356,1208,64,36,48
"Mujeres (035)",903,859,20,13,11
,,,,,
"RURAL (036)",8475,7885,296,107,187
"Hombres (037)",4820,4360,214,88,158
"Mujeres (038)",3655,3525,82,19,29
"De 06 a 14 años (039)",167,159,8,,
"Hombres (040)",90,85,5,,
"Mujeres (041)",77,74,3,,
"De 15 a 29 años (042)",2378,2124,127,53,74
"Hombres (043)",1378,1183,88,44,63
"Mujeres (044)",1000,941,39,9,11
"De 30 a 44 años (045)",2313,2127,77,34,75
"Hombres (046)",1313,1174,55,25,59
"Mujeres (047)",1000,953,22,9,16
"De 45 a 64 años (048)",2458,2327,77,19,35
"Hombres (049)",1374,1261,61,19,33
"Mujeres (050)",1084,1066,16,,2
"De 65 y más años (051)",1159,1148,7,1,3
"Hombres (052)",665,657,5,,3
"Mujeres (053)",494,491,2,1,
