"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia EL COLLAO (000)",31072,29881,9118,3810,4154,3260,4764,2863,1241,671,1191,79258
"De 12 a 14 años (001)",2634,2620,2608,10,2,,,,,,14,14
"De 15 a 19 años (002)",3753,3666,3316,288,45,10,7,,,,87,436
"De 20 a 24 años (003)",3407,2982,1377,993,468,118,22,4,,,425,2402
"De 25 a 29 años (004)",3185,2869,477,872,931,433,145,9,2,,316,4712
"De 30 a 34 años (005)",2660,2527,219,495,800,561,382,63,5,2,133,5870
"De 35 a 39 años (006)",2623,2552,172,298,633,577,650,181,34,7,71,7637
"De 40 a 44 años (007)",2240,2210,144,209,368,411,652,323,84,19,30,8007
"De 45 a 49 años (008)",2045,2028,119,131,248,306,623,381,162,58,17,8731
"De 50 y más años (009)",8525,8427,686,514,659,844,2283,1902,954,585,98,41449
"Conviviente (010)",5387,5184,765,1543,1238,714,585,228,68,43,203,11173
"De 12 a 14 años (011)",37,25,19,5,1,,,,,,12,7
"De 15 a 19 años (012)",502,435,198,196,33,4,4,,,,67,290
"De 20 a 24 años (013)",1206,1135,260,550,254,56,11,4,,,71,1298
"De 25 a 29 años (014)",1135,1107,101,392,363,187,60,4,,,28,1956
"De 30 a 34 años (015)",849,838,58,179,284,178,112,23,2,2,11,1938
"De 35 a 39 años (016)",643,634,35,105,171,130,151,36,6,,9,1774
"De 40 a 44 años (017)",335,334,23,37,56,63,87,51,11,6,1,1184
"De 45 a 49 años (018)",241,239,21,26,30,42,60,35,16,9,2,929
"De 50 y más años (019)",439,437,50,53,46,54,100,75,33,26,2,1797
"Separado(a) (020)",713,699,52,242,147,81,115,43,18,1,14,1725
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",16,12,3,8,,,1,,,,4,12
