"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia GRAU (000)",5790,73,1443,2082,1603,589
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",53,,14,23,16,
"Profes., científicos e intelectuales (002)",689,,129,366,194,
"Técnicos de nivel medio y trab. asimilados (003)",100,,32,49,19,
"Jefes y empleados de oficina (004)",152,,46,72,34,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",385,4,105,148,91,37
"Agricult. trabaj. calif.agrop. y pesqueros (006)",2022,1,280,630,724,387
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",368,,115,148,85,20
"Obreros construc., conf., papel, fab., instr. (008)",261,,85,120,48,8
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",1589,68,584,473,360,104
"Otra (010)",20,,6,13,1,
"Ocupación no especificada (011)",151,,47,40,31,33
"Hombres (012)",4236,47,1016,1519,1220,434
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",43,,11,19,13,
"Profes., científicos e intelectuales (014)",432,,59,226,147,
"Técnicos de nivel medio y trab. asimilados (015)",65,,19,34,12,
"Jefes y empleados de oficina (016)",108,,27,55,26,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",119,3,26,45,31,14
"Agricult. trabaj. calif.agrop. y pesqueros (018)",1765,1,252,562,632,318
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",313,,103,124,68,18
"Obreros construc., conf., papel, fab., instr. (020)",256,,85,118,45,8
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1038,43,405,303,228,59
"Otra (022)",20,,6,13,1,
"Ocupación no especificada (023)",77,,23,20,17,17
"Mujeres (024)",1554,26,427,563,383,155
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",10,,3,4,3,
"Profes., científicos e intelectuales (026)",257,,70,140,47,
"Técnicos de nivel medio y trab. asimilados (027)",35,,13,15,7,
"Jefes y empleados de oficina (028)",44,,19,17,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",266,1,79,103,60,23
"Agricult. trabaj. calif.agrop. y pesqueros (030)",257,,28,68,92,69
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",55,,12,24,17,2
"Obreros construc., conf., papel, fab., instr. (032)",5,,,2,3,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",551,25,179,170,132,45
"Ocupación no especificada (035)",74,,24,20,14,16
,,,,,,
