"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CHINCHEROS (000)",12310,1787,2853,5507,90,1476,144,453
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,39,,,,,,
"Profes., científicos e intelectuales (002)",1167,1104,,57,5,1,,
"Técnicos de nivel medio y trab. asimilados (003)",179,130,,41,5,3,,
"Jefes y empleados de oficina (004)",201,201,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",773,69,11,581,12,100,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4032,,,3982,50,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",374,,116,241,7,10,,
"Obreros construc.,conf.,papel, fab., instr. (008)",448,60,213,148,9,18,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4246,88,2444,330,,1240,144,
"Otra (010)",68,68,,,,,,
"Ocupaciñn no especificada (011)",330,28,69,127,2,104,,
"Desocupado (012)",453,,,,,,,453
"Hombres (013)",9746,1065,2665,4492,71,1076,8,369
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",34,34,,,,,,
"Profes., científicos e intelectuales (015)",620,581,,35,4,,,
"Técnicos de nivel medio y trab. asimilados (016)",118,85,,28,3,2,,
"Jefes y empleados de oficina (017)",134,134,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",246,34,3,178,6,25,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3819,,,3774,45,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",304,,101,191,4,8,,
"Obreros construc.,conf.,papel, fab., instr. (021)",441,60,212,142,9,18,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",3469,55,2302,99,,1005,8,
"Otra (023)",67,67,,,,,,
"Ocupaciñn no especificada (024)",125,15,47,45,,18,,
"Desocupado (025)",369,,,,,,,369
"Mujeres (026)",2564,722,188,1015,19,400,136,84
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,5,,,,,,
"Profes., científicos e intelectuales (028)",547,523,,22,1,1,,
"Técnicos de nivel medio y trab. asimilados (029)",61,45,,13,2,1,,
"Jefes y empleados de oficina (030)",67,67,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",527,35,8,403,6,75,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",213,,,208,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",70,,15,50,3,2,,
"Obreros construc.,conf.,papel, fab., instr. (034)",7,,1,6,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",777,33,142,231,,235,136,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",205,13,22,82,2,86,,
"Desocupado (038)",84,,,,,,,84
,,,,,,,,
"URBANA (039)",4962,1388,770,2053,57,443,85,166
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",26,26,,,,,,
"Profes., científicos e intelectuales (041)",926,876,,44,5,1,,
"Técnicos de nivel medio y trab. asimilados (042)",128,86,,34,5,3,,
"Jefes y empleados de oficina (043)",164,164,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",538,48,7,412,10,61,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1052,,,1025,27,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",187,,50,128,4,5,,
"Obreros construc.,conf.,papel, fab., instr. (047)",241,47,85,98,4,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1312,55,603,237,,332,85,
"Otra (049)",66,66,,,,,,
"Ocupaciñn no especificada (050)",156,20,25,75,2,34,,
"Desocupado (051)",166,,,,,,,166
"Hombres (052)",3391,821,694,1419,40,279,5,133
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",21,21,,,,,,
"Profes., científicos e intelectuales (054)",490,459,,27,4,,,
"Técnicos de nivel medio y trab. asimilados (055)",81,55,,21,3,2,,
"Jefes y empleados de oficina (056)",106,106,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",169,20,1,130,4,14,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",977,,,955,22,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",161,,43,111,3,4,,
"Obreros construc.,conf.,papel, fab., instr. (060)",236,47,85,93,4,7,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",891,36,548,58,,244,5,
"Otra (062)",65,65,,,,,,
"Ocupaciñn no especificada (063)",61,12,17,24,,8,,
"Desocupado (064)",133,,,,,,,133
"Mujeres (065)",1571,567,76,634,17,164,80,33
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",5,5,,,,,,
"Profes., científicos e intelectuales (067)",436,417,,17,1,1,,
"Técnicos de nivel medio y trab. asimilados (068)",47,31,,13,2,1,,
"Jefes y empleados de oficina (069)",58,58,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",369,28,6,282,6,47,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",75,,,70,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",26,,7,17,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (073)",5,,,5,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",421,19,55,179,,88,80,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",95,8,8,51,2,26,,
"Desocupado (077)",33,,,,,,,33
,,,,,,,,
"RURAL (078)",7348,399,2083,3454,33,1033,59,287
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",13,13,,,,,,
"Profes., científicos e intelectuales (080)",241,228,,13,,,,
"Técnicos de nivel medio y trab. asimilados (081)",51,44,,7,,,,
"Jefes y empleados de oficina (082)",37,37,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",235,21,4,169,2,39,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",2980,,,2957,23,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",187,,66,113,3,5,,
"Obreros construc.,conf.,papel, fab., instr. (086)",207,13,128,50,5,11,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2934,33,1841,93,,908,59,
"Otra (088)",2,2,,,,,,
"Ocupaciñn no especificada (089)",174,8,44,52,,70,,
"Desocupado (090)",287,,,,,,,287
"Hombres (091)",6355,244,1971,3073,31,797,3,236
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",13,13,,,,,,
"Profes., científicos e intelectuales (093)",130,122,,8,,,,
"Técnicos de nivel medio y trab. asimilados (094)",37,30,,7,,,,
"Jefes y empleados de oficina (095)",28,28,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",77,14,2,48,2,11,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2842,,,2819,23,,,
