"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARAL (000)",2583,38,1332,707,415,91
"Conviviente (001)",668,2,271,270,106,19
"Separado(a) (002)",125,,35,51,35,4
"Casado(a) (003)",485,,52,184,202,47
"Viudo(a) (004)",36,,,7,17,12
"Divorciado(a) (005)",14,,1,6,6,1
"Soltero(a) (006)",1255,36,973,189,49,8
"Hombres (008)",1717,27,830,466,323,71
"Conviviente (009)",447,1,150,193,88,15
"Separado(a) (010)",55,,10,17,24,4
"Casado(a) (011)",346,,27,124,159,36
"Viudo(a) (012)",21,,,1,11,9
"Divorciado(a) (013)",10,,1,3,5,1
"Soltero(a) (014)",838,26,642,128,36,6
"Mujeres (016)",866,11,502,241,92,20
"Conviviente (017)",221,1,121,77,18,4
"Separado(a) (018)",70,,25,34,11,
"Casado(a) (019)",139,,25,60,43,11
"Viudo(a) (020)",15,,,6,6,3
"Divorciado(a) (021)",4,,,3,1,
"Soltero(a) (022)",417,10,331,61,13,2
,,,,,,
"AREA URBANA (024)",2308,34,1180,650,367,77
"Conviviente (025)",599,2,239,250,93,15
"Separado(a) (026)",112,,32,45,31,4
"Casado(a) (027)",443,,46,175,183,39
"Viudo(a) (028)",34,,,7,16,11
"Divorciado(a) (029)",14,,1,6,6,1
"Soltero(a) (030)",1106,32,862,167,38,7
"Hombres (032)",1544,25,744,431,283,61
"Conviviente (033)",401,1,133,179,75,13
"Separado(a) (034)",51,,10,15,22,4
"Casado(a) (035)",314,,25,117,142,30
"Viudo(a) (036)",20,,,1,11,8
"Divorciado(a) (037)",10,,1,3,5,1
"Soltero(a) (038)",748,24,575,116,28,5
"Mujeres (040)",764,9,436,219,84,16
"Conviviente (041)",198,1,106,71,18,2
"Separado(a) (042)",61,,22,30,9,
"Casado(a) (043)",129,,21,58,41,9
"Viudo(a) (044)",14,,,6,5,3
"Divorciado(a) (045)",4,,,3,1,
"Soltero(a) (046)",358,8,287,51,10,2
,,,,,,
"AREA RURAL (048)",275,4,152,57,48,14
"Conviviente (049)",69,,32,20,13,4
"Separado(a) (050)",13,,3,6,4,
"Casado(a) (051)",42,,6,9,19,8
"Viudo(a) (052)",2,,,,1,1
"Soltero(a) (054)",149,4,111,22,11,1
"Hombres (056)",173,2,86,35,40,10
"Conviviente (057)",46,,17,14,13,2
"Separado(a) (058)",4,,,2,2,
"Casado(a) (059)",32,,2,7,17,6
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",90,2,67,12,8,1
"Mujeres (064)",102,2,66,22,8,4
"Conviviente (065)",23,,15,6,,2
"Separado(a) (066)",9,,3,4,2,
"Casado(a) (067)",10,,4,2,2,2
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",59,2,44,10,3,
