"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CAYLLOMA",,,,
"Viviendas particulares (001)",8930,6455,2001,474
"Ocupantes presentes (002)",33086,24083,7408,1595
"Casa independiente",,,,
"Viviendas particulares (004)",8057,5920,1734,403
"Ocupantes presentes (005)",29702,21920,6436,1346
"Departamento en edificio",,,,
"Viviendas particulares (007)",92,72,20,
"Ocupantes presentes (008)",274,219,55,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",133,91,42,
"Ocupantes presentes (011)",614,447,167,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",524,317,185,22
"Ocupantes presentes (014)",2064,1289,699,76
"Choza o cabaña",,,,
"Viviendas particulares (016)",28,,,28
"Ocupantes presentes (017)",104,,,104
"Vivienda improvisada",,,,
"Viviendas particulares (019)",79,40,20,19
"Ocupantes presentes (020)",254,142,51,61
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",17,15,,2
"Ocupantes presentes (023)",74,66,,8
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",8265,5999,1858,408
"Ocupantes presentes (029)",30492,22277,6836,1379
"Casa independiente",,,,
"Viviendas particulares (031)",7475,5522,1609,344
"Ocupantes presentes (032)",27442,20357,5932,1153
"Departamento en edificio",,,,
"Viviendas particulares (034)",88,68,20,
"Ocupantes presentes (035)",260,205,55,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",117,81,36,
"Ocupantes presentes (038)",506,376,130,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",482,277,183,22
"Ocupantes presentes (041)",1924,1155,693,76
"Choza o cabaña",,,,
"Viviendas particulares (043)",26,,,26
"Ocupantes presentes (044)",97,,,97
"Vivienda improvisada",,,,
"Viviendas particulares (046)",62,38,10,14
"Ocupantes presentes (047)",204,133,26,45
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",15,13,,2
"Ocupantes presentes (050)",59,51,,8
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",665,456,143,66
"Ocupantes presentes (056)",2594,1806,572,216
"Casa independiente",,,,
"Viviendas particulares (058)",582,398,125,59
"Ocupantes presentes (059)",2260,1563,504,193
"Departamento en edificio",,,,
"Viviendas particulares (061)",4,4,,
"Ocupantes presentes (062)",14,14,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",16,10,6,
"Ocupantes presentes (065)",108,71,37,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",42,40,2,
"Ocupantes presentes (068)",140,134,6,
"Choza o cabaña",,,,
"Viviendas particulares (070)",2,,,2
"Ocupantes presentes (071)",7,,,7
"Vivienda improvisada",,,,
"Viviendas particulares (073)",17,2,10,5
"Ocupantes presentes (074)",50,9,25,16
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",2,2,,
"Ocupantes presentes (077)",15,15,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",8431,6177,1952,302
"Ocupantes presentes (110)",31506,23257,7223,1026
"Casa independiente",,,,
"Viviendas particulares (112)",7587,5643,1685,259
"Ocupantes presentes (113)",28229,21097,6251,881
"Departamento en edificio",,,,
"Viviendas particulares (115)",92,72,20,
"Ocupantes presentes (116)",274,219,55,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",133,91,42,
"Ocupantes presentes (119)",614,447,167,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",524,317,185,22
"Ocupantes presentes (122)",2064,1289,699,76
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",79,40,20,19
"Ocupantes presentes (128)",254,142,51,61
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",16,14,,2
"Ocupantes presentes (131)",71,63,,8
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",7786,5736,1809,241
"Ocupantes presentes (137)",28975,21501,6651,823
"Casa independiente",,,,
"Viviendas particulares (139)",7023,5260,1560,203
"Ocupantes presentes (140)",26025,19584,5747,694
"Departamento en edificio",,,,
"Viviendas particulares (142)",88,68,20,
"Ocupantes presentes (143)",260,205,55,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",117,81,36,
"Ocupantes presentes (146)",506,376,130,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",482,277,183,22
"Ocupantes presentes (149)",1924,1155,693,76
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",62,38,10,14
"Ocupantes presentes (155)",204,133,26,45
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",14,12,,2
"Ocupantes presentes (158)",56,48,,8
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",645,441,143,61
"Ocupantes presentes (164)",2531,1756,572,203
"Casa independiente",,,,
"Viviendas particulares (166)",564,383,125,56
"Ocupantes presentes (167)",2204,1513,504,187
"Departamento en edificio",,,,
"Viviendas particulares (169)",4,4,,
"Ocupantes presentes (170)",14,14,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",16,10,6,
"Ocupantes presentes (173)",108,71,37,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",42,40,2,
"Ocupantes presentes (176)",140,134,6,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",17,2,10,5
"Ocupantes presentes (182)",50,9,25,16
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",2,2,,
"Ocupantes presentes (185)",15,15,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",499,278,49,172
"Ocupantes presentes (218)",1580,826,185,569
"Casa independiente",,,,
"Viviendas particulares (220)",470,277,49,144
"Ocupantes presentes (221)",1473,823,185,465
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",28,,,28
"Ocupantes presentes (233)",104,,,104
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,1,,
"Ocupantes presentes (239)",3,3,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",479,263,49,167
"Ocupantes presentes (245)",1517,776,185,556
"Casa independiente",,,,
"Viviendas particulares (247)",452,262,49,141
"Ocupantes presentes (248)",1417,773,185,459
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",26,,,26
"Ocupantes presentes (260)",97,,,97
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",3,3,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",20,15,,5
"Ocupantes presentes (272)",63,50,,13
"Casa independiente",,,,
"Viviendas particulares (274)",18,15,,3
"Ocupantes presentes (275)",56,50,,6
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",2,,,2
"Ocupantes presentes (287)",7,,,7
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
