"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AMBO (000)",48297,13591,13363,9605,7825,3913
"Sin nivel (001)",7254,505,849,1539,2387,1974
"Educación inicial (002)",594,560,19,15,,
"Primaria (003)",26246,10729,4852,5050,3930,1685
"Secundaria (004)",11233,1797,6189,2029,1043,175
"Superior no univ. incompleta (005)",823,,544,181,85,13
"Superior no univ. completa (006)",747,,296,308,121,22
"Superior univ. incompleta (007)",610,,408,137,60,5
"Superior univ. completa (008)",790,,206,346,199,39
"PEA (010)",16833,387,5495,5437,4142,1372
"Sin nivel (011)",1980,39,286,495,684,476
"Educación inicial (012)",25,6,10,9,,
"Primaria (013)",8694,275,2361,2874,2376,808
"Secundaria (014)",4481,67,2273,1359,719,63
"Superior no univ. incompleta (015)",335,,145,116,70,4
"Superior no univ. completa (016)",523,,198,219,97,9
"Superior univ. incompleta (017)",216,,79,89,48,
"Superior univ. completa (018)",579,,143,276,148,12
"Ocupada (020)",15878,346,5022,5175,3995,1340
"Sin nivel (021)",1875,31,253,463,660,468
"Educación inicial (022)",23,5,10,8,,
"Primaria (023)",8376,247,2254,2777,2309,789
"Secundaria (024)",4093,63,2013,1277,682,58
"Superior no univ. incompleta (025)",304,,127,109,64,4
"Superior no univ. completa (026)",477,,175,199,94,9
"Superior univ. incompleta (027)",188,,67,79,42,
"Superior univ. completa (028)",542,,123,263,144,12
"Desocupada (030)",955,41,473,262,147,32
"Sin nivel (031)",105,8,33,32,24,8
