"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",202,45,157
"Sin nivel (001)",6,1,5
"Educación inicial (002)",2,2,
"Primaria (003)",87,16,71
"Secundaria (004)",82,21,61
"Superior no univ. incompleta (005)",7,1,6
"Superior no univ. completa (006)",12,3,9
"Superior univ. incompleta (007)",1,,1
"Superior univ. completa (008)",5,1,4
"Hombres (010)",145,22,123
"Sin nivel (011)",2,,2
"Primaria (013)",61,8,53
"Secundaria (014)",67,13,54
"Superior no univ. incompleta (015)",6,,6
"Superior no univ. completa (016)",6,1,5
"Superior univ. incompleta (017)",1,,1
"Superior univ. completa (018)",2,,2
"Mujeres (020)",57,23,34
"Sin nivel (021)",4,1,3
"Educación inicial (022)",2,2,
"Primaria (023)",26,8,18
"Secundaria (024)",15,8,7
"Superior no univ. incompleta (025)",1,1,
"Superior no univ. completa (026)",6,2,4
"Superior univ. completa (028)",3,1,2
,,,
"AREA URBANA (030)",119,18,101
"Sin nivel (031)",3,1,2
"Educación inicial (032)",1,1,
"Primaria (033)",40,3,37
"Secundaria (034)",56,10,46
"Superior no univ. incompleta (035)",4,,4
"Superior no univ. completa (036)",11,3,8
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",3,,3
"Hombres (040)",90,10,80
"Primaria (043)",28,1,27
"Secundaria (044)",51,8,43
"Superior no univ. incompleta (045)",4,,4
"Superior no univ. completa (046)",5,1,4
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",1,,1
"Mujeres (050)",29,8,21
"Sin nivel (051)",3,1,2
"Educación inicial (052)",1,1,
"Primaria (053)",12,2,10
"Secundaria (054)",5,2,3
"Superior no univ. completa (056)",6,2,4
"Superior univ. completa (058)",2,,2
,,,
"AREA RURAL (060)",83,27,56
"Sin nivel (061)",3,,3
"Educación inicial (062)",1,1,
"Primaria (063)",47,13,34
"Secundaria (064)",26,11,15
"Superior no univ. incompleta (065)",3,1,2
"Superior no univ. completa (066)",1,,1
"Superior univ. completa (068)",2,1,1
"Hombres (070)",55,12,43
"Sin nivel (071)",2,,2
"Primaria (073)",33,7,26
"Secundaria (074)",16,5,11
"Superior no univ. incompleta (075)",2,,2
"Superior no univ. completa (076)",1,,1
"Superior univ. completa (078)",1,,1
"Mujeres (080)",28,15,13
"Sin nivel (081)",1,,1
"Educación inicial (082)",1,1,
"Primaria (083)",14,6,8
"Secundaria (084)",10,6,4
"Superior no univ. incompleta (085)",1,1,
"Superior univ. completa (088)",1,1,
