"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LORETO (000)",17332,2609,3102,8313,154,2914,240
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,39,,,2,,
"Profes., científicos e intelectuales (002)",1233,1187,,43,2,1,
"Técnicos de nivel medio y trab. asimilados (003)",409,336,,65,3,5,
"Jefes y empleados de oficina (004)",389,388,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1291,237,54,798,23,179,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",6579,1,4,6483,90,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",813,,619,184,7,3,
"Obreros construc.,conf., papel, fab., instr. (008)",840,73,551,195,11,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",5073,155,1644,358,11,2665,240
"Otra (010)",48,48,,,,,
"Ocupación no especificada (011)",616,145,230,187,5,49,
"Hombres (012)",13225,1771,2792,7027,124,1485,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",35,34,,,1,,
"Profes., científicos e intelectuales (014)",770,741,,28,,1,
"Técnicos de nivel medio y trab. asimilados (015)",345,287,,51,3,4,
"Jefes y empleados de oficina (016)",274,274,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",728,158,31,458,14,67,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",6013,1,4,5926,81,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",775,,616,150,6,3,
"Obreros construc.,conf., papel, fab., instr. (020)",823,72,538,192,11,10,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",3069,99,1406,147,5,1386,26
"Otra (022)",45,45,,,,,
"Ocupación no especificada (023)",348,60,197,75,3,13,
"Mujeres (024)",4107,838,310,1286,30,1429,214
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,5,,,1,,
"Profes., científicos e intelectuales (026)",463,446,,15,2,,
"Técnicos de nivel medio y trab. asimilados (027)",64,49,,14,,1,
"Jefes y empleados de oficina (028)",115,114,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",563,79,23,340,9,112,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",566,,,557,9,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",38,,3,34,1,,
"Obreros construc.,conf., papel, fab., instr. (032)",17,1,13,3,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2004,56,238,211,6,1279,214
"Otra (034)",3,3,,,,,
"Ocupación no especificada (035)",268,85,33,112,2,36,
,,,,,,,
"URBANA (036)",8495,1892,2279,3160,93,858,213
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",22,20,,,2,,
"Profes., científicos e intelectuales (038)",760,722,,37,,1,
"Técnicos de nivel medio y trab. asimilados (039)",332,269,,55,3,5,
"Jefes y empleados de oficina (040)",350,349,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1010,218,40,607,11,134,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1754,,,1703,50,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",703,,535,162,4,2,
"Obreros construc.,conf., papel, fab., instr. (044)",682,60,427,178,9,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",2447,132,1083,321,9,689,213
"Otra (046)",34,34,,,,,
"Ocupación no especificada (047)",401,88,194,97,5,17,
"Hombres (048)",6127,1302,2058,2304,73,369,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",18,17,,,1,,
"Profes., científicos e intelectuales (050)",478,454,,23,,1,
"Técnicos de nivel medio y trab. asimilados (051)",277,228,,42,3,4,
"Jefes y empleados de oficina (052)",238,238,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",515,143,27,295,6,44,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1504,,,1460,43,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",668,,532,130,4,2,
"Obreros construc.,conf., papel, fab., instr. (056)",666,59,414,176,9,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1444,79,918,122,4,300,21
"Otra (058)",31,31,,,,,
"Ocupación no especificada (059)",288,53,167,56,3,9,
"Mujeres (060)",2368,590,221,856,20,489,192
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",4,3,,,1,,
"Profes., científicos e intelectuales (062)",282,268,,14,,,
"Técnicos de nivel medio y trab. asimilados (063)",55,41,,13,,1,
"Jefes y empleados de oficina (064)",112,111,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",495,75,13,312,5,90,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",250,,,243,7,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",35,,3,32,,,
"Obreros construc.,conf., papel, fab., instr. (068)",16,1,13,2,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1003,53,165,199,5,389,192
"Otra (070)",3,3,,,,,
"Ocupación no especificada (071)",113,35,27,41,2,8,
,,,,,,,
"RURAL (072)",8837,717,823,5153,61,2056,27
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",19,19,,,,,
"Profes., científicos e intelectuales (074)",473,465,,6,2,,
"Técnicos de nivel medio y trab. asimilados (075)",77,67,,10,,,
"Jefes y empleados de oficina (076)",39,39,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",281,19,14,191,12,45,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",4825,1,4,4780,40,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",110,,84,22,3,1,
"Obreros construc.,conf., papel, fab., instr. (080)",158,13,124,17,2,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2626,23,561,37,2,1976,27
"Otra (082)",14,14,,,,,
"Ocupación no especificada (083)",215,57,36,90,,32,
"Hombres (084)",7098,469,734,4723,51,1116,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",17,17,,,,,
"Profes., científicos e intelectuales (086)",292,287,,5,,,
"Técnicos de nivel medio y trab. asimilados (087)",68,59,,9,,,
"Jefes y empleados de oficina (088)",36,36,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",213,15,4,163,8,23,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",4509,1,4,4466,38,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",107,,84,20,2,1,
"Obreros construc.,conf., papel, fab., instr. (092)",157,13,124,16,2,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",1625,20,488,25,1,1086,5
"Otra (094)",14,14,,,,,
"Ocupación no especificada (095)",60,7,30,19,,4,
"Mujeres (096)",1739,248,89,430,10,940,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",181,178,,1,2,,
