"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5092,3856,437,382,417
"Hombres (001)",3727,2836,333,294,264
"Mujeres (002)",1365,1020,104,88,153
"De 06 a 14 años (003)",53,50,2,1,
"Hombres (004)",37,36,1,,
"Mujeres (005)",16,14,1,1,
"De 15 a 29 años (006)",1599,1152,128,128,191
"Hombres (007)",1153,852,94,102,105
"Mujeres (008)",446,300,34,26,86
"De 30 a 44 años (009)",1722,1227,173,179,143
"Hombres (010)",1226,871,132,133,90
"Mujeres (011)",496,356,41,46,53
"De 45 a 64 años (012)",1327,1058,118,73,78
"Hombres (013)",1001,785,93,58,65
"Mujeres (014)",326,273,25,15,13
"De 65 y más años (015)",391,369,16,1,5
"Hombres (016)",310,292,13,1,4
"Mujeres (017)",81,77,3,,1
,,,,,
"URBANA (018)",1303,713,157,212,221
"Hombres (019)",796,410,101,153,132
"Mujeres (020)",507,303,56,59,89
"De 06 a 14 años (021)",22,21,,1,
"Hombres (022)",13,13,,,
"Mujeres (023)",9,8,,1,
"De 15 a 29 años (024)",419,218,46,59,96
"Hombres (025)",247,124,30,48,45
"Mujeres (026)",172,94,16,11,51
"De 30 a 44 años (027)",493,244,72,102,75
"Hombres (028)",279,121,45,69,44
"Mujeres (029)",214,123,27,33,31
"De 45 a 64 años (030)",303,168,37,50,48
"Hombres (031)",212,110,25,36,41
"Mujeres (032)",91,58,12,14,7
"De 65 y más años (033)",66,62,2,,2
"Hombres (034)",45,42,1,,2
"Mujeres (035)",21,20,1,,
,,,,,
"RURAL (036)",3789,3143,280,170,196
"Hombres (037)",2931,2426,232,141,132
"Mujeres (038)",858,717,48,29,64
"De 06 a 14 años (039)",31,29,2,,
"Hombres (040)",24,23,1,,
"Mujeres (041)",7,6,1,,
"De 15 a 29 años (042)",1180,934,82,69,95
"Hombres (043)",906,728,64,54,60
"Mujeres (044)",274,206,18,15,35
"De 30 a 44 años (045)",1229,983,101,77,68
"Hombres (046)",947,750,87,64,46
"Mujeres (047)",282,233,14,13,22
"De 45 a 64 años (048)",1024,890,81,23,30
"Hombres (049)",789,675,68,22,24
"Mujeres (050)",235,215,13,1,6
"De 65 y más años (051)",325,307,14,1,3
"Hombres (052)",265,250,12,1,2
"Mujeres (053)",60,57,2,,1
