"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CORONEL PORTILLO (000)",119161,30727,20420,54580,2657,6999,3778
"Agric., ganadería, caza y silvicultura (001)",22131,262,4387,13184,652,3646,
"Pesca (002)",1142,12,575,445,13,97,
"Explotación de minas y canteras (003)",261,93,112,46,10,,
"Industrias manufactureras (004)",11420,727,5587,4677,301,128,
"Suministro de electricidad, gas y agua (005)",276,178,78,17,1,2,
"Construcción (006)",5428,243,3399,1595,164,27,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",25767,4509,1026,17290,785,2157,
"Venta, mant.y rep. veh.autom y motoc. (008)",3121,496,718,1664,163,80,
"Comercio al por mayor (009)",1343,511,95,577,82,78,
"Comercio al por menor (010)",21303,3502,213,15049,540,1999,
"Hoteles y restaurantes (011)",6871,2304,406,3681,184,296,
"Trans., almac. y comunicaciones (012)",13641,2282,2159,8852,219,129,
"Intermediación financiera (013)",415,382,3,27,2,1,
"Activid.inmobil., empres. y alquileres (014)",5504,4094,334,890,140,46,
"Admin.pub. y defensa; p. segur soc.afil (015)",4132,3698,434,,,,
"Enseñanza (016)",7139,6643,2,461,10,23,
"Servicios sociales y de salud (017)",2143,1823,30,251,25,14,
"Otras activ. serv.comun.soc y personales (018)",3486,1803,307,1299,42,35,
"Hogares privados con servicio doméstico (019)",3778,,,,,,3778
"Organiz. y organos extraterritoriales (020)",10,10,,,,,
"Actividad economica no especificada (021)",5617,1664,1581,1865,109,398,
"Hombres (022)",78776,17463,17890,38059,2038,3090,236
"Agric., ganadería, caza y silvicultura (023)",17740,208,3566,11513,578,1875,
"Pesca (024)",1076,12,547,413,12,92,
"Explotación de minas y canteras (025)",235,82,107,36,10,,
"Industrias manufactureras (026)",8908,545,5205,2843,243,72,
"Suministro de electricidad, gas y agua (027)",245,153,73,17,,2,
"Construcción (028)",5207,214,3244,1565,157,27,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14244,2577,991,9517,563,596,
"Venta, mant.y rep. veh.autom y motoc. (030)",2821,340,698,1580,153,50,
"Comercio al por mayor (031)",975,366,90,433,69,17,
"Comercio al por menor (032)",10448,1871,203,7504,341,529,
"Hoteles y restaurantes (033)",1743,830,137,635,55,86,
"Trans., almac. y comunicaciones (034)",13033,1914,2117,8694,204,104,
"Intermediación financiera (035)",258,237,3,15,2,1,
"Activid.inmobil., empres. y alquileres (036)",3708,2610,258,713,102,25,
"Admin.pub. y defensa; p. segur soc.afil (037)",2835,2637,198,,,,
"Enseñanza (038)",3167,2925,2,226,4,10,
"Servicios sociales y de salud (039)",870,683,12,159,14,2,
"Otras activ. serv.comun.soc y personales (040)",1952,1011,215,683,21,22,
"Hogares privados con servicio doméstico (041)",236,,,,,,236
"Organiz. y organos extraterritoriales (042)",8,8,,,,,
"Actividad economica no especificada (043)",3311,817,1215,1030,73,176,
"Mujeres (044)",40385,13264,2530,16521,619,3909,3542
"Agric., ganadería, caza y silvicultura (045)",4391,54,821,1671,74,1771,
"Pesca (046)",66,,28,32,1,5,
"Explotación de minas y canteras (047)",26,11,5,10,,,
"Industrias manufactureras (048)",2512,182,382,1834,58,56,
"Suministro de electricidad, gas y agua (049)",31,25,5,,1,,
"Construcción (050)",221,29,155,30,7,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",11523,1932,35,7773,222,1561,
"Venta, mant.y rep. veh.autom y motoc. (052)",300,156,20,84,10,30,
"Comercio al por mayor (053)",368,145,5,144,13,61,
"Comercio al por menor (054)",10855,1631,10,7545,199,1470,
"Hoteles y restaurantes (055)",5128,1474,269,3046,129,210,
"Trans., almac. y comunicaciones (056)",608,368,42,158,15,25,
"Intermediación financiera (057)",157,145,,12,,,
"Activid.inmobil., empres. y alquileres (058)",1796,1484,76,177,38,21,
"Admin.pub. y defensa; p. segur soc.afil (059)",1297,1061,236,,,,
"Enseñanza (060)",3972,3718,,235,6,13,
"Servicios sociales y de salud (061)",1273,1140,18,92,11,12,
"Otras activ. serv.comun.soc y personales (062)",1534,792,92,616,21,13,
"Hogares privados con servicio doméstico (063)",3542,,,,,,3542
"Organiz. y organos extraterritoriales (064)",2,2,,,,,
"Actividad economica no especificada (065)",2306,847,366,835,36,222,
,,,,,,,
"URBANA (066)",101559,30045,17350,44368,2244,4005,3547
"Agric., ganadería, caza y silvicultura (067)",8196,241,2184,4625,305,841,
"Pesca (068)",949,11,453,383,12,90,
"Explotación de minas y canteras (069)",216,93,93,23,7,,
"Industrias manufactureras (070)",10689,717,5363,4221,283,105,
"Suministro de electricidad, gas y agua (071)",274,177,78,17,1,1,
"Construcción (072)",5290,243,3322,1540,162,23,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",25203,4476,1007,16844,766,2110,
"Venta, mant.y rep. veh.autom y motoc. (074)",3090,493,702,1652,163,80,
"Comercio al por mayor (075)",1326,510,95,565,79,77,
"Comercio al por menor (076)",20787,3473,210,14627,524,1953,
"Hoteles y restaurantes (077)",6690,2269,368,3590,182,281,
"Trans., almac. y comunicaciones (078)",13436,2271,2105,8727,208,125,
"Intermediación financiera (079)",414,381,3,27,2,1,
"Activid.inmobil., empres. y alquileres (080)",5450,4056,322,886,140,46,
"Admin.pub. y defensa; p. segur soc.afil (081)",4045,3618,427,,,,
"Enseñanza (082)",6764,6302,2,429,10,21,
"Servicios sociales y de salud (083)",2078,1780,25,242,20,11,
"Otras activ. serv.comun.soc y personales (084)",3410,1758,291,1284,42,35,
"Hogares privados con servicio doméstico (085)",3547,,,,,,3547
"Organiz. y organos extraterritoriales (086)",10,10,,,,,
"Actividad economica no especificada (087)",4898,1642,1307,1530,104,315,
"Hombres (088)",65526,17001,15346,29684,1683,1602,210
"Agric., ganadería, caza y silvicultura (089)",6614,189,1768,3935,275,447,
"Pesca (090)",887,11,426,353,11,86,
"Explotación de minas y canteras (091)",199,82,89,21,7,,
"Industrias manufactureras (092)",8544,535,5006,2710,227,66,
"Suministro de electricidad, gas y agua (093)",243,152,73,17,,1,
"Construcción (094)",5070,214,3167,1511,155,23,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",13940,2557,972,9280,552,579,
"Venta, mant.y rep. veh.autom y motoc. (096)",2791,337,682,1569,153,50,
"Comercio al por mayor (097)",962,366,90,423,66,17,
"Comercio al por menor (098)",10187,1854,200,7288,333,512,
"Hoteles y restaurantes (099)",1718,818,132,628,54,86,
"Trans., almac. y comunicaciones (100)",12832,1905,2063,8571,193,100,
"Intermediación financiera (101)",257,236,3,15,2,1,
"Activid.inmobil., empres. y alquileres (102)",3663,2577,249,710,102,25,
"Admin.pub. y defensa; p. segur soc.afil (103)",2757,2564,193,,,,
"Enseñanza (104)",2936,2713,2,208,4,9,
"Servicios sociales y de salud (105)",839,659,10,157,11,2,
"Otras activ. serv.comun.soc y personales (106)",1894,979,199,673,21,22,
