"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ANGARAES (000)",55528,15911,39617
"Casa independiente (001)",51169,15277,35892
"Departamento en edificio (002)",31,31,
"Vivienda en quinta (003)",420,420,
"Vivienda en casa de vecindad (004)",136,136,
"Choza o cabaña (005)",3716,,3716
"Vivienda improvisada (006)",2,2,
"Local no dest.para hab. humana (007)",50,45,5
"Otro tipo (008)",4,,4
