"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ISLAY (000)",21185,4640,7526,7262,512,871,374
"Agric., ganadería, caza y silvicultura (001)",6435,49,4298,1348,310,430,
"Pesca (002)",1034,23,625,373,11,2,
"Explotación de minas y canteras (003)",216,49,160,7,,,
"Industrias manufactureras (004)",1153,128,498,487,25,15,
"Suministro de electricidad, gas y agua (005)",58,27,29,2,,,
"Construcción (006)",1043,40,703,280,15,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3330,609,181,2211,70,259,
"Venta, mant.y rep. veh.autom y motoc. (008)",530,91,148,262,18,11,
"Comercio al por mayor (009)",167,69,12,68,3,15,
"Comercio al por menor (010)",2633,449,21,1881,49,233,
"Hoteles y restaurantes (011)",1023,309,52,571,26,65,
"Trans., almac. y comunicaciones (012)",2012,648,536,780,22,26,
"Intermediación financiera (013)",69,64,1,2,2,,
"Activid.inmobil., empres. y alquileres (014)",873,602,127,131,6,7,
"Admin.pub. y defensa; p. segur soc.afil (015)",725,643,82,,,,
"Enseñanza (016)",913,837,1,69,6,,
"Servicios sociales y de salud (017)",292,245,9,36,,2,
"Otras activ. serv.comun.soc y personales (018)",936,237,138,552,6,3,
"Hogares privados con servicio doméstico (019)",374,,,,,,374
"Actividad economica no especificada (021)",699,130,86,413,13,57,
"Hombres (022)",13571,2637,5515,4605,400,378,36
"Agric., ganadería, caza y silvicultura (023)",4244,40,2598,1117,255,234,
"Pesca (024)",1001,19,601,369,11,1,
"Explotación de minas y canteras (025)",212,46,159,7,,,
"Industrias manufactureras (026)",904,91,444,338,20,11,
"Suministro de electricidad, gas y agua (027)",54,23,29,2,,,
"Construcción (028)",1005,37,675,274,15,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1445,284,172,880,45,64,
"Venta, mant.y rep. veh.autom y motoc. (030)",488,71,139,252,16,10,
"Comercio al por mayor (031)",92,38,12,33,3,6,
"Comercio al por menor (032)",865,175,21,595,26,48,
"Hoteles y restaurantes (033)",280,134,23,96,9,18,
"Trans., almac. y comunicaciones (034)",1784,505,500,742,21,16,
"Intermediación financiera (035)",31,29,,1,1,,
"Activid.inmobil., empres. y alquileres (036)",650,430,101,109,6,4,
"Admin.pub. y defensa; p. segur soc.afil (037)",535,474,61,,,,
"Enseñanza (038)",304,270,1,28,5,,
"Servicios sociales y de salud (039)",99,71,1,27,,,
"Otras activ. serv.comun.soc y personales (040)",513,128,102,276,4,3,
"Hogares privados con servicio doméstico (041)",36,,,,,,36
"Actividad economica no especificada (043)",474,56,48,339,8,23,
"Mujeres (044)",7614,2003,2011,2657,112,493,338
"Agric., ganadería, caza y silvicultura (045)",2191,9,1700,231,55,196,
"Pesca (046)",33,4,24,4,,1,
"Explotación de minas y canteras (047)",4,3,1,,,,
"Industrias manufactureras (048)",249,37,54,149,5,4,
"Suministro de electricidad, gas y agua (049)",4,4,,,,,
"Construcción (050)",38,3,28,6,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1885,325,9,1331,25,195,
"Venta, mant.y rep. veh.autom y motoc. (052)",42,20,9,10,2,1,
"Comercio al por mayor (053)",75,31,,35,,9,
"Comercio al por menor (054)",1768,274,,1286,23,185,
"Hoteles y restaurantes (055)",743,175,29,475,17,47,
"Trans., almac. y comunicaciones (056)",228,143,36,38,1,10,
"Intermediación financiera (057)",38,35,1,1,1,,
"Activid.inmobil., empres. y alquileres (058)",223,172,26,22,,3,
"Admin.pub. y defensa; p. segur soc.afil (059)",190,169,21,,,,
"Enseñanza (060)",609,567,,41,1,,
"Servicios sociales y de salud (061)",193,174,8,9,,2,
"Otras activ. serv.comun.soc y personales (062)",423,109,36,276,2,,
"Hogares privados con servicio doméstico (063)",338,,,,,,338
"Actividad economica no especificada (065)",225,74,38,74,5,34,
,,,,,,,
"URBANA (066)",18686,4400,6078,6772,372,699,365
"Agric., ganadería, caza y silvicultura (067)",4801,41,3295,1014,175,276,
"Pesca (068)",838,20,439,366,11,2,
"Explotación de minas y canteras (069)",105,27,71,7,,,
"Industrias manufactureras (070)",1045,101,433,471,25,15,
"Suministro de electricidad, gas y agua (071)",55,26,27,2,,,
"Construcción (072)",1013,36,683,275,15,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3220,595,172,2133,70,250,
"Venta, mant.y rep. veh.autom y motoc. (074)",513,87,141,256,18,11,
"Comercio al por mayor (075)",161,69,12,65,3,12,
"Comercio al por menor (076)",2546,439,19,1812,49,227,
"Hoteles y restaurantes (077)",987,302,38,560,25,62,
"Trans., almac. y comunicaciones (078)",1959,633,523,757,21,25,
"Intermediación financiera (079)",68,64,1,2,1,,
"Activid.inmobil., empres. y alquileres (080)",817,570,104,131,6,6,
"Admin.pub. y defensa; p. segur soc.afil (081)",645,569,76,,,,
"Enseñanza (082)",895,820,1,68,6,,
"Servicios sociales y de salud (083)",280,236,8,34,,2,
"Otras activ. serv.comun.soc y personales (084)",910,232,127,542,6,3,
"Hogares privados con servicio doméstico (085)",365,,,,,,365
"Actividad economica no especificada (087)",683,128,80,410,11,54,
"Hombres (088)",11732,2447,4429,4230,288,305,33
"Agric., ganadería, caza y silvicultura (089)",3106,33,1936,828,147,162,
"Pesca (090)",806,16,416,362,11,1,
"Explotación de minas y canteras (091)",101,24,70,7,,,
"Industrias manufactureras (092)",807,69,381,326,20,11,
"Suministro de electricidad, gas y agua (093)",51,22,27,2,,,
"Construcción (094)",976,33,655,269,15,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1399,272,163,855,45,64,
"Venta, mant.y rep. veh.autom y motoc. (096)",472,67,132,247,16,10,
"Comercio al por mayor (097)",90,38,12,31,3,6,
"Comercio al por menor (098)",837,167,19,577,26,48,
"Hoteles y restaurantes (099)",265,130,15,93,9,18,
"Trans., almac. y comunicaciones (100)",1734,491,488,719,20,16,
"Intermediación financiera (101)",30,29,,1,,,
"Activid.inmobil., empres. y alquileres (102)",599,403,78,109,6,3,
"Admin.pub. y defensa; p. segur soc.afil (103)",466,410,56,,,,
"Enseñanza (104)",298,265,1,27,5,,
"Servicios sociales y de salud (105)",97,71,1,25,,,
"Otras activ. serv.comun.soc y personales (106)",497,124,97,269,4,3,
"Hogares privados con servicio doméstico (107)",33,,,,,,33
"Actividad economica no especificada (109)",467,55,45,338,6,23,
"Mujeres (110)",6954,1953,1649,2542,84,394,332
"Agric., ganadería, caza y silvicultura (111)",1695,8,1359,186,28,114,
"Pesca (112)",32,4,23,4,,1,
"Explotación de minas y canteras (113)",4,3,1,,,,
"Industrias manufactureras (114)",238,32,52,145,5,4,
"Suministro de electricidad, gas y agua (115)",4,4,,,,,
"Construcción (116)",37,3,28,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1821,323,9,1278,25,186,
"Venta, mant.y rep. veh.autom y motoc. (118)",41,20,9,9,2,1,
