"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CASTROVIRREYNA (000)",6719,23959,20875,,319,87.1,1.3
"De 12 a 14 años (001)",660,6,6,,2,100,33.3
"De 15 a 19 años (002)",777,134,134,38,100,28.4,
"De 20 a 24 años (003)",568,568,551,70,97,12.3,
"De 25 a 29 años (004)",557,1150,1105,71,96.1,6.2,
"De 30 a 34 años (005)",556,1673,1602,60,95.8,3.6,
"De 35 a 39 años (006)",526,2222,2093,52,94.2,2.3,
"De 40 a 44 años (007)",568,2331,2140,21,91.8,0.9,
"De 45 a 49 años (008)",387,2238,2003,5,89.5,0.2,
"De 50 y más años (009)",2120,13637,11241,,82.4,,
"Conviviente (010)",1413,4835,4484,192,92.7,4,
"De 12 a 14 años (011)",7,1,1,,100,,
"De 15 a 19 años (012)",92,74,74,23,100,31.1,
"De 20 a 24 años (013)",233,351,341,50,97.2,14.2,
"De 25 a 29 años (014)",254,618,594,48,96.1,7.8,
"De 30 a 34 años (015)",250,867,820,32,94.6,3.7,
"De 35 a 39 años (016)",186,839,782,29,93.2,3.5,
"De 40 a 44 años (017)",138,603,570,9,94.5,1.5,
"De 45 a 49 años (018)",82,475,420,1,88.4,0.2,
"De 50 y más años (019)",171,1007,882,,87.6,,
"Separado(a) (020)",300,999,909,20,91,2,
"De 12 a 14 años (021)",2,1,1,,100,,
"De 15 a 19 años (022)",24,19,19,6,100,31.6,
"De 20 a 24 años (023)",41,64,61,6,95.3,9.4,
"De 25 a 29 años (024)",42,88,84,2,95.5,2.3,
"De 30 a 34 años (025)",40,113,107,5,94.7,4.4,
"De 35 a 39 años (026)",24,94,91,1,96.8,1.1,
"De 40 a 44 años (027)",40,169,157,,92.9,,
"De 45 a 49 años (028)",17,84,76,,90.5,,
"De 50 y más años (029)",70,367,313,,85.3,,
"Casado(a) (030)",2103,11985,10520,75,87.8,0.6,
"De 15 a 19 años (032)",10,9,9,2,100,22.2,
"De 20 a 24 años (033)",47,77,75,8,97.4,10.4,
"De 25 a 29 años (034)",111,299,290,15,97,5,
"De 30 a 34 años (035)",161,540,524,18,97,3.3,
"De 35 a 39 años (036)",235,1119,1053,18,94.1,1.6,
"De 40 a 44 años (037)",275,1286,1172,10,91.1,0.8,
"De 45 a 49 años (038)",219,1388,1252,4,90.2,0.3,
