"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN MIGUEL (000)",16091,138,502,1225,2191,3318,4817,3900
"De 12 a 14 años (001)",19,,,,,,4,15
"De 15 a 19 años (002)",397,,,,,,239,158
"De 20 a 24 años (003)",1436,,,,,12,840,584
"De 25 a 29 años (004)",1789,,,,,128,1074,587
"De 30 a 34 años (005)",1798,,,,2,323,1045,428
"De 35 a 39 años (006)",1922,,,,21,653,868,380
"De 40 a 44 años (007)",1515,,,2,103,639,497,274
"De 45 a 49 años (008)",1400,,,13,291,643,208,245
"De 50 y más años (009)",5815,138,502,1210,1774,920,42,1229
"Sin nivel (010)",4590,105,335,741,977,783,500,1149
"De 15 a 19 años (012)",18,,,,,,10,8
"De 20 a 24 años (013)",85,,,,,1,43,41
"De 25 a 29 años (014)",122,,,,,7,70,45
"De 30 a 34 años (015)",177,,,,,30,93,54
"De 35 a 39 años (016)",274,,,,3,77,132,62
"De 40 a 44 años (017)",279,,,,13,105,92,69
"De 45 a 49 años (018)",345,,,2,58,164,44,77
"De 50 y más años (019)",3290,105,335,739,903,399,16,793
"Educacion Inicial (020)",9,,,,,1,4,4
"De 20 a 24 años (023)",3,,,,,,1,2
"De 25 a 29 años (024)",1,,,,,,,1
"De 30 a 34 años (025)",4,,,,,1,3,
"De 35 a 39 años (026)",1,,,,,,,1
"Primaria (030)",8500,30,157,442,1059,1999,2960,1853
"De 12 a 14 años (031)",9,,,,,,2,7
"De 15 a 19 años (032)",232,,,,,,141,91
"De 20 a 24 años (033)",863,,,,,10,522,331
"De 25 a 29 años (034)",1084,,,,,74,669,341
"De 30 a 34 años (035)",1049,,,,2,199,622,226
"De 35 a 39 años (036)",1163,,,,10,432,519,202
"De 40 a 44 años (037)",955,,,2,70,415,321,147
"De 45 a 49 años (038)",868,,,10,190,397,141,130
"De 50 y más años (039)",2277,30,157,430,787,472,23,378
"Secundaria (040)",2201,1,6,25,109,384,1045,631
"De 12 a 14 años (041)",10,,,,,,2,8
"De 15 a 19 años (042)",145,,,,,,87,58
"De 20 a 24 años (043)",421,,,,,1,252,168
"De 25 a 29 años (044)",450,,,,,40,273,137
"De 30 a 34 años (045)",407,,,,,77,239,91
"De 35 a 39 años (046)",323,,,,5,110,138,70
"De 40 a 44 años (047)",183,,,,17,83,42,41
"De 45 a 49 años (048)",112,,,1,30,49,9,23
"De 50 y más años (049)",150,1,6,24,57,24,3,35
"Sup. no Univ. incompleta (050)",121,,1,2,5,17,49,47
"De 15 a 19 años (052)",2,,,,,,1,1
"De 20 a 24 años (053)",23,,,,,,8,15
