"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PALLASCA (000)",7103,29027,3896,15045,3207,13982
"Casa independiente (001)",6836,28030,3856,14876,2980,13154
"Vivienda en quinta (003)",10,23,10,23,,
"Vivienda en casa de vecindad (004)",26,138,26,138,,
"Choza o cabaña (005)",226,824,,,226,824
"Vivienda improvisada (006)",2,4,2,4,,
"Local no dest.para hab. humana (007)",2,7,1,3,1,4
"Otro tipo (008)",1,1,1,1,,
