"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CASTILLA (000)",1278,584,694
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",80,77,3
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",41,41,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",882,193,689
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",270,268,2
