"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PAUCARTAMBO (000)",491,9,252,164,56,10
"Conviviente (001)",156,,74,63,17,2
"Separado(a) (002)",18,,10,6,1,1
"Casado(a) (003)",137,,24,79,32,2
"Viudo(a) (004)",12,,1,4,5,2
"Divorciado(a) (005)",3,,1,1,1,
"Soltero(a) (006)",165,9,142,11,,3
"Hombres (008)",385,4,180,142,52,7
"Conviviente (009)",126,,55,54,16,1
"Separado(a) (010)",4,,1,2,,1
"Casado(a) (011)",126,,18,75,31,2
"Viudo(a) (012)",7,,,2,5,
"Soltero(a) (014)",122,4,106,9,,3
"Mujeres (016)",106,5,72,22,4,3
"Conviviente (017)",30,,19,9,1,1
"Separado(a) (018)",14,,9,4,1,
"Casado(a) (019)",11,,6,4,1,
"Viudo(a) (020)",5,,1,2,,2
"Divorciado(a) (021)",3,,1,1,1,
"Soltero(a) (022)",43,5,36,2,,
,,,,,,
"AREA URBANA (024)",206,4,93,80,24,5
"Conviviente (025)",80,,28,42,9,1
"Separado(a) (026)",13,,7,4,1,1
"Casado(a) (027)",43,,4,24,14,1
"Viudo(a) (028)",3,,1,1,,1
"Divorciado(a) (029)",1,,,1,,
"Soltero(a) (030)",66,4,53,8,,1
"Hombres (032)",163,4,67,66,22,4
"Conviviente (033)",65,,20,35,9,1
"Separado(a) (034)",3,,1,1,,1
"Casado(a) (035)",39,,3,22,13,1
"Viudo(a) (036)",1,,,1,,
"Soltero(a) (038)",55,4,43,7,,1
"Mujeres (040)",43,,26,14,2,1
"Conviviente (041)",15,,8,7,,
"Separado(a) (042)",10,,6,3,1,
"Casado(a) (043)",4,,1,2,1,
"Viudo(a) (044)",2,,1,,,1
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",11,,10,1,,
,,,,,,
"AREA RURAL (048)",285,5,159,84,32,5
"Conviviente (049)",76,,46,21,8,1
"Separado(a) (050)",5,,3,2,,
"Casado(a) (051)",94,,20,55,18,1
"Viudo(a) (052)",9,,,3,5,1
"Divorciado(a) (053)",2,,1,,1,
"Soltero(a) (054)",99,5,89,3,,2
"Hombres (056)",222,,113,76,30,3
"Conviviente (057)",61,,35,19,7,
"Separado(a) (058)",1,,,1,,
"Casado(a) (059)",87,,15,53,18,1
"Viudo(a) (060)",6,,,1,5,
"Soltero(a) (062)",67,,63,2,,2
"Mujeres (064)",63,5,46,8,2,2
"Conviviente (065)",15,,11,2,1,1
"Separado(a) (066)",4,,3,1,,
"Casado(a) (067)",7,,5,2,,
"Viudo(a) (068)",3,,,2,,1
"Divorciado(a) (069)",2,,1,,1,
"Soltero(a) (070)",32,5,26,1,,
