"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia UTCUBAMBA (000)",1623,88,819,413,246,57
"Conviviente (001)",535,1,201,216,107,10
"Separado(a) (002)",45,,17,12,12,4
"Casado(a) (003)",266,,31,102,104,29
"Viudo(a) (004)",25,,4,3,8,10
"Divorciado(a) (005)",8,,1,3,2,2
"Soltero(a) (006)",744,87,565,77,13,2
"Hombres (008)",1269,55,583,352,225,54
"Conviviente (009)",453,1,145,196,101,10
"Separado(a) (010)",23,,5,6,8,4
"Casado(a) (011)",231,,17,85,100,29
"Viudo(a) (012)",15,,3,2,3,7
"Divorciado(a) (013)",7,,1,2,2,2
"Soltero(a) (014)",540,54,412,61,11,2
"Mujeres (016)",354,33,236,61,21,3
"Conviviente (017)",82,,56,20,6,
"Separado(a) (018)",22,,12,6,4,
"Casado(a) (019)",35,,14,17,4,
"Viudo(a) (020)",10,,1,1,5,3
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",204,33,153,16,2,
,,,,,,
"AREA URBANA (024)",968,38,497,244,156,33
"Conviviente (025)",343,1,128,138,71,5
"Separado(a) (026)",30,,6,9,11,4
"Casado(a) (027)",153,,23,52,61,17
"Viudo(a) (028)",14,,2,1,6,5
"Divorciado(a) (029)",3,,,1,1,1
"Soltero(a) (030)",425,37,338,43,6,1
"Hombres (032)",730,26,335,197,141,31
"Conviviente (033)",281,1,84,123,68,5
"Separado(a) (034)",17,,2,4,7,4
"Casado(a) (035)",125,,11,39,58,17
"Viudo(a) (036)",7,,1,1,2,3
"Divorciado(a) (037)",2,,,,1,1
"Soltero(a) (038)",298,25,237,30,5,1
"Mujeres (040)",238,12,162,47,15,2
"Conviviente (041)",62,,44,15,3,
"Separado(a) (042)",13,,4,5,4,
"Casado(a) (043)",28,,12,13,3,
"Viudo(a) (044)",7,,1,,4,2
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",127,12,101,13,1,
,,,,,,
"AREA RURAL (048)",655,50,322,169,90,24
"Conviviente (049)",192,,73,78,36,5
"Separado(a) (050)",15,,11,3,1,
"Casado(a) (051)",113,,8,50,43,12
"Viudo(a) (052)",11,,2,2,2,5
"Divorciado(a) (053)",5,,1,2,1,1
"Soltero(a) (054)",319,50,227,34,7,1
"Hombres (056)",539,29,248,155,84,23
"Conviviente (057)",172,,61,73,33,5
"Separado(a) (058)",6,,3,2,1,
"Casado(a) (059)",106,,6,46,42,12
"Viudo(a) (060)",8,,2,1,1,4
"Divorciado(a) (061)",5,,1,2,1,1
"Soltero(a) (062)",242,29,175,31,6,1
"Mujeres (064)",116,21,74,14,6,1
"Conviviente (065)",20,,12,5,3,
"Separado(a) (066)",9,,8,1,,
"Casado(a) (067)",7,,2,4,1,
"Viudo(a) (068)",3,,,1,1,1
"Soltero(a) (070)",77,21,52,3,1,
