"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARMA (000)",42825,36013,2484,1916,2412
"Sin nivel (001)",2244,2171,50,14,9
"Educación inicial (002)",28,27,1,,
"Primaria (003)",14714,13934,543,135,102
"Secundaria (004)",15588,13835,892,427,434
"Superior no univ. incompleta (005)",2194,1633,201,148,212
"Superior no univ. completa (006)",3229,1919,317,432,561
"Superior univ. incompleta (007)",1363,911,114,148,190
"Superior univ. completa (008)",3465,1583,366,612,904
"De 06 a 14 años (010)",661,612,43,5,1
"Sin nivel (011)",12,11,1,,
"Educación inicial (012)",12,11,1,,
"Primaria (013)",437,404,29,4,
"Secundaria (014)",200,186,12,1,1
"De 15 a 29 años (020)",12950,10920,935,551,544
"Sin nivel (021)",144,135,7,1,1
"Educación inicial (022)",8,8,,,
"Primaria (023)",2974,2774,140,42,18
"Secundaria (024)",6639,5907,421,195,116
"Superior no univ. incompleta (025)",968,739,106,62,61
"Superior no univ. completa (026)",972,603,124,104,141
"Superior univ. incompleta (027)",536,383,50,47,56
"Superior univ. completa (028)",709,371,87,100,151
"De 30 a 44 años (030)",14602,11651,927,914,1110
"Sin nivel (031)",402,378,14,6,4
"Educación inicial (032)",8,8,,,
"Primaria (033)",4184,3940,180,39,25
"Secundaria (034)",5452,4842,300,148,162
"Superior no univ. incompleta (035)",808,579,61,69,99
"Superior no univ. completa (036)",1537,886,148,244,259
"Superior univ. incompleta (037)",505,307,39,74,85
"Superior univ. completa (038)",1706,711,185,334,476
"De 45 a 64 años (040)",11156,9508,500,426,722
"Sin nivel (041)",921,893,20,5,3
"Primaria (043)",5007,4750,159,46,52
"Secundaria (044)",2934,2571,137,78,148
"Superior no univ. incompleta (045)",383,283,33,16,51
"Superior no univ. completa (046)",661,383,42,81,155
"Superior univ. incompleta (047)",293,198,25,27,43
"Superior univ. completa (048)",957,430,84,173,270
"De 65 y más años (050)",3456,3322,79,20,35
"Sin nivel (051)",765,754,8,2,1
"Primaria (053)",2112,2066,35,4,7
"Secundaria (054)",363,329,22,5,7
"Superior no univ. incompleta (055)",35,32,1,1,1
"Superior no univ. completa (056)",59,47,3,3,6
"Superior univ. incompleta (057)",29,23,,,6
"Superior univ. completa (058)",93,71,10,5,7
,,,,,
