"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ANDAHUAYLAS (000)",42292,7437,8875,16566,756,8022,636
"Agric., ganadería, caza y silvicultura (001)",23942,51,6831,9742,504,6814,
"Pesca (002)",10,1,5,3,,1,
"Explotación de minas y canteras (003)",65,11,40,11,2,1,
"Industrias manufactureras (004)",1437,46,390,806,50,145,
"Suministro de electricidad, gas y agua (005)",33,14,10,4,2,3,
"Construcción (006)",1222,37,861,256,20,48,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4564,565,56,3195,87,661,
"Venta, mant.y rep. veh.autom.y motoc. (008)",350,36,42,229,20,23,
"Comercio al por mayor (009)",140,45,3,73,4,15,
"Comercio al por menor (010)",4074,484,11,2893,63,623,
"Hoteles y restaurantes (011)",1155,345,56,625,24,105,
"Trans., almac. y comunicaciones (012)",1646,456,182,938,16,54,
"Intermediación financiera (013)",91,89,,1,1,,
"Activid.inmobil., empres. y alquileres (014)",572,392,12,146,18,4,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1283,1035,248,,,,
"Enseñanza (016)",3010,2892,,109,4,5,
"Servicios sociales y de salud (017)",991,915,15,48,6,7,
"Otras activ. serv.comun.soc y personales (018)",498,214,21,238,3,22,
"Hogares privados con servicio doméstico (019)",636,,,,,,636
"Organiz. y organos extraterritoriales (020)",1,1,,,,,
"Actividad economica no especificada (021)",1136,373,148,444,19,152,
"Hombres (022)",28173,4196,7458,11744,628,4103,44
"Agric., ganadería, caza y silvicultura (023)",17947,50,5736,8089,442,3630,
"Pesca (024)",8,1,4,2,,1,
"Explotación de minas y canteras (025)",61,9,38,11,2,1,
"Industrias manufactureras (026)",1115,36,337,605,41,96,
"Suministro de electricidad, gas y agua (027)",27,12,7,3,2,3,
"Construcción (028)",1166,34,816,251,20,45,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1846,272,53,1257,61,203,
"Venta, mant.y rep. veh.autom.y motoc. (030)",321,28,41,214,20,18,
"Comercio al por mayor (031)",79,29,2,38,3,7,
"Comercio al por menor (032)",1446,215,10,1005,38,178,
"Hoteles y restaurantes (033)",280,131,10,105,12,22,
"Trans., almac. y comunicaciones (034)",1522,371,173,919,16,43,
"Intermediación financiera (035)",54,54,,,,,
"Activid.inmobil., empres. y alquileres (036)",416,278,11,112,13,2,
"Admin.pub. y defensa; p. segur.soc.afil (037)",947,795,152,,,,
"Enseñanza (038)",1604,1542,,59,2,1,
"Servicios sociales y de salud (039)",345,301,4,34,4,2,
"Otras activ. serv.comun.soc y personales (040)",252,117,8,119,3,5,
"Hogares privados con servicio doméstico (041)",44,,,,,,44
"Organiz. y organos extraterritoriales (042)",1,1,,,,,
"Actividad economica no especificada (043)",538,192,109,178,10,49,
"Mujeres (044)",14119,3241,1417,4822,128,3919,592
"Agric., ganadería, caza y silvicultura (045)",5995,1,1095,1653,62,3184,
"Pesca (046)",2,,1,1,,,
"Explotación de minas y canteras (047)",4,2,2,,,,
"Industrias manufactureras (048)",322,10,53,201,9,49,
"Suministro de electricidad, gas y agua (049)",6,2,3,1,,,
"Construcción (050)",56,3,45,5,,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2718,293,3,1938,26,458,
"Venta, mant.y rep. veh.autom.y motoc. (052)",29,8,1,15,,5,
"Comercio al por mayor (053)",61,16,1,35,1,8,
"Comercio al por menor (054)",2628,269,1,1888,25,445,
"Hoteles y restaurantes (055)",875,214,46,520,12,83,
"Trans., almac. y comunicaciones (056)",124,85,9,19,,11,
"Intermediación financiera (057)",37,35,,1,1,,
"Activid.inmobil., empres. y alquileres (058)",156,114,1,34,5,2,
"Admin.pub. y defensa; p. segur.soc.afil (059)",336,240,96,,,,
"Enseñanza (060)",1406,1350,,50,2,4,
"Servicios sociales y de salud (061)",646,614,11,14,2,5,
"Otras activ. serv.comun.soc y personales (062)",246,97,13,119,,17,
"Hogares privados con servicio doméstico (063)",592,,,,,,592
"Actividad economica no especificada (065)",598,181,39,266,9,103,
,,,,,,,
"URBANA (066)",21984,6808,3521,8178,410,2550,517
"Agric., ganadería, caza y silvicultura (067)",6405,42,2106,2470,182,1605,
"Pesca (068)",5,1,4,,,,
"Explotación de minas y canteras (069)",39,9,21,7,2,,
"Industrias manufactureras (070)",1036,41,269,611,45,70,
"Suministro de electricidad, gas y agua (071)",23,11,9,1,2,,
"Construcción (072)",810,35,563,186,13,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",4027,518,47,2784,84,594,
"Venta, mant.y rep. veh.autom.y motoc. (074)",316,30,34,211,19,22,
"Comercio al por mayor (075)",131,43,3,68,4,13,
"Comercio al por menor (076)",3580,445,10,2505,61,559,
"Hoteles y restaurantes (077)",1019,304,40,565,23,87,
"Trans., almac. y comunicaciones (078)",1360,402,133,761,14,50,
"Intermediación financiera (079)",89,87,,1,1,,
"Activid.inmobil., empres. y alquileres (080)",547,374,10,142,17,4,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1099,912,187,,,,
"Enseñanza (082)",2806,2723,,76,2,5,
"Servicios sociales y de salud (083)",864,804,6,43,5,6,
"Otras activ. serv.comun.soc y personales (084)",465,196,18,226,3,22,
"Hogares privados con servicio doméstico (085)",517,,,,,,517
"Organiz. y organos extraterritoriales (086)",1,1,,,,,
"Actividad economica no especificada (087)",872,348,108,305,17,94,
"Hombres (088)",13350,3806,2832,5085,314,1276,37
"Agric., ganadería, caza y silvicultura (089)",4849,41,1681,2048,145,934,
"Pesca (090)",4,1,3,,,,
"Explotación de minas y canteras (091)",36,7,20,7,2,,
"Industrias manufactureras (092)",801,32,226,470,37,36,
"Suministro de electricidad, gas y agua (093)",18,9,7,,2,,
"Construcción (094)",760,32,520,182,13,13,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1645,238,44,1116,59,188,
"Venta, mant.y rep. veh.autom.y motoc. (096)",291,22,33,200,19,17,
"Comercio al por mayor (097)",74,27,2,35,3,7,
"Comercio al por menor (098)",1280,189,9,881,37,164,
"Hoteles y restaurantes (099)",261,123,7,99,12,20,
"Trans., almac. y comunicaciones (100)",1240,320,124,742,14,40,
"Intermediación financiera (101)",52,52,,,,,
"Activid.inmobil., empres. y alquileres (102)",393,261,9,108,13,2,
"Admin.pub. y defensa; p. segur.soc.afil (103)",801,698,103,,,,
"Enseñanza (104)",1470,1423,,44,2,1,
"Servicios sociales y de salud (105)",321,284,2,29,4,2,
"Otras activ. serv.comun.soc y personales (106)",234,107,7,112,3,5,
"Hogares privados con servicio doméstico (107)",37,,,,,,37
"Organiz. y organos extraterritoriales (108)",1,1,,,,,
"Actividad economica no especificada (109)",427,177,79,128,8,35,
"Mujeres (110)",8634,3002,689,3093,96,1274,480
"Agric., ganadería, caza y silvicultura (111)",1556,1,425,422,37,671,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",3,2,1,,,,
