"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SULLANA (000)",110969,270592,247036,,4920,91.3,1.8
"De 12 a 14 años (001)",9245,56,52,,6,92.9,10.7
"De 15 a 19 años (002)",14817,1865,1830,524,98.1,28.1,
"De 20 a 24 años (003)",12971,9268,9135,1244,98.6,13.4,
"De 25 a 29 años (004)",12305,17376,17020,1259,98,7.2,
"De 30 a 34 años (005)",11635,24244,23591,1038,97.3,4.3,
"De 35 a 39 años (006)",10200,27497,26528,612,96.5,2.2,
"De 40 a 44 años (007)",8810,28722,27241,208,94.8,0.7,
"De 45 a 49 años (008)",7615,29375,27375,29,93.2,0.1,
"De 50 y más años (009)",23371,132189,114264,,86.4,,
"Conviviente (010)",25364,68875,64707,2542,93.9,3.7,
"De 12 a 14 años (011)",106,26,22,4,84.6,15.4,
"De 15 a 19 años (012)",1930,1254,1233,360,98.3,28.7,
"De 20 a 24 años (013)",4428,5588,5508,739,98.6,13.2,
"De 25 a 29 años (014)",4764,8868,8676,637,97.8,7.2,
"De 30 a 34 años (015)",4092,10203,9889,460,96.9,4.5,
"De 35 a 39 años (016)",3138,9750,9398,257,96.4,2.6,
"De 40 a 44 años (017)",2197,8176,7736,77,94.6,0.9,
"De 45 a 49 años (018)",1619,7217,6696,8,92.8,0.1,
"De 50 y más años (019)",3090,17793,15549,,87.4,,
"Separado(a) (020)",5810,17335,16077,267,92.7,1.5,
"De 12 a 14 años (021)",5,2,2,1,100,50,
"De 15 a 19 años (022)",168,141,140,43,99.3,30.5,
"De 20 a 24 años (023)",528,649,642,77,98.9,11.9,
"De 25 a 29 años (024)",704,1159,1140,52,98.4,4.5,
"De 30 a 34 años (025)",769,1546,1518,48,98.2,3.1,
"De 35 a 39 años (026)",745,1902,1825,34,96,1.8,
"De 40 a 44 años (027)",707,2154,2044,9,94.9,0.4,
"De 45 a 49 años (028)",631,2246,2086,3,92.9,0.1,
"De 50 y más años (029)",1553,7536,6680,,88.6,,
"Casado(a) (030)",36966,142545,130676,1879,91.7,1.3,
"De 12 a 14 años (031)",8,7,7,,100,,
"De 15 a 19 años (032)",439,302,291,82,96.4,27.2,
"De 20 a 24 años (033)",2139,2487,2448,349,98.4,14,
"De 25 a 29 años (034)",3745,6473,6346,523,98,8.1,
