"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LAMAS (000)",32666,2082,4761,16544,1064,7271,944
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",51,51,,,,,
"Profes., científicos e intelectuales (002)",957,896,,51,7,3,
"Técnicos de nivel medio y trab. asimilados (003)",291,187,,76,12,16,
"Jefes y empleados de oficina (004)",409,408,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1708,200,21,1187,36,264,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",14578,2,1,13632,943,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",560,,134,374,23,29,
"Obreros construc.,conf.,papel, fab., instr. (008)",1022,71,363,545,23,20,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12393,158,4146,306,5,6834,944
"Otra (010)",42,42,,,,,
"Ocupación no especificada (011)",655,67,96,372,15,105,
"Hombres (012)",23680,1173,3876,13836,960,3800,35
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,43,,,,,
"Profes., científicos e intelectuales (014)",527,484,,38,3,2,
"Técnicos de nivel medio y trab. asimilados (015)",200,115,,61,11,13,
"Jefes y empleados de oficina (016)",206,205,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",733,99,8,556,19,51,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",13090,1,1,12210,878,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",438,,124,279,20,15,
"Obreros construc.,conf.,papel, fab., instr. (020)",1007,70,361,536,22,18,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7254,89,3350,90,2,3688,35
"Otra (022)",42,42,,,,,
"Ocupación no especificada (023)",140,25,32,65,5,13,
"Mujeres (024)",8986,909,885,2708,104,3471,909
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",8,8,,,,,
"Profes., científicos e intelectuales (026)",430,412,,13,4,1,
"Técnicos de nivel medio y trab. asimilados (027)",91,72,,15,1,3,
"Jefes y empleados de oficina (028)",203,203,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",975,101,13,631,17,213,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1488,1,,1422,65,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",122,,10,95,3,14,
"Obreros construc.,conf.,papel, fab., instr. (032)",15,1,2,9,1,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5139,69,796,216,3,3146,909
"Ocupación no especificada (035)",515,42,64,307,10,92,
,,,,,,,
"URBANA (036)",15840,1900,2146,8011,313,2687,783
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",49,49,,,,,
"Profes., científicos e intelectuales (038)",842,787,,45,7,3,
"Técnicos de nivel medio y trab. asimilados (039)",263,174,,71,11,7,
"Jefes y empleados de oficina (040)",393,392,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1476,180,20,1008,33,235,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",5734,2,1,5529,202,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",507,,116,346,22,23,
"Obreros construc.,conf.,papel, fab., instr. (044)",905,67,328,473,21,16,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",5145,144,1609,279,4,2326,783
"Otra (046)",42,42,,,,,
"Ocupación no especificada (047)",484,63,72,259,13,77,
"Hombres (048)",10696,1074,1760,6244,261,1336,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",41,41,,,,,
"Profes., científicos e intelectuales (050)",466,428,,33,3,2,
"Técnicos de nivel medio y trab. asimilados (051)",177,106,,57,10,4,
"Jefes y empleados de oficina (052)",195,194,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",629,89,8,467,17,48,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",5035,1,1,4846,187,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",392,,106,254,19,13,
"Obreros construc.,conf.,papel, fab., instr. (056)",893,66,327,464,20,16,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",2715,83,1291,76,1,1243,21
"Otra (058)",42,42,,,,,
"Ocupación no especificada (059)",111,24,27,46,4,10,
"Mujeres (060)",5144,826,386,1767,52,1351,762
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",8,8,,,,,
"Profes., científicos e intelectuales (062)",376,359,,12,4,1,
"Técnicos de nivel medio y trab. asimilados (063)",86,68,,14,1,3,
"Jefes y empleados de oficina (064)",198,198,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",847,91,12,541,16,187,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",699,1,,683,15,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",115,,10,92,3,10,
"Obreros construc.,conf.,papel, fab., instr. (068)",12,1,1,9,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",2430,61,318,203,3,1083,762
"Ocupación no especificada (071)",373,39,45,213,9,67,
,,,,,,,
"RURAL (072)",16826,182,2615,8533,751,4584,161
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",2,2,,,,,
"Profes., científicos e intelectuales (074)",115,109,,6,,,
"Técnicos de nivel medio y trab. asimilados (075)",28,13,,5,1,9,
"Jefes y empleados de oficina (076)",16,16,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",232,20,1,179,3,29,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",8844,,,8103,741,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",53,,18,28,1,6,
"Obreros construc.,conf.,papel, fab., instr. (080)",117,4,35,72,2,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",7248,14,2537,27,1,4508,161
"Ocupación no especificada (083)",171,4,24,113,2,28,
"Hombres (084)",12984,99,2116,7592,699,2464,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",61,56,,5,,,
"Técnicos de nivel medio y trab. asimilados (087)",23,9,,4,1,9,
"Jefes y empleados de oficina (088)",11,11,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",104,10,,89,2,3,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",8055,,,7364,691,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",46,,18,25,1,2,
"Obreros construc.,conf.,papel, fab., instr. (092)",114,4,34,72,2,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",4539,6,2059,14,1,2445,14
"Ocupación no especificada (095)",29,1,5,19,1,3,
"Mujeres (096)",3842,83,499,941,52,2120,147
"Profes., científicos e intelectuales (098)",54,53,,1,,,
"Técnicos de nivel medio y trab. asimilados (099)",5,4,,1,,,
"Jefes y empleados de oficina (100)",5,5,,,,,
