"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,,1,,
"Profes., científicos e intelectuales (086)",57,24,5,14,14
"Técnicos de nivel medio y trab. asimilados (087)",47,16,5,11,15
"Jefes y empleados de oficina (088)",36,19,4,6,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",118,94,15,1,8
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1182,1007,157,14,4
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",170,86,17,34,33
"Obreros construc.,conf.,papel, fab., instr. (092)",324,266,27,24,7
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",3794,2306,714,297,477
"Otra (094)",1,,,,1
"Ocupación no especificada (095)",24,19,,1,4
"Mujeres (096)",1696,1089,267,112,228
"Profes., científicos e intelectuales (098)",57,21,10,5,21
"Técnicos de nivel medio y trab. asimilados (099)",26,14,1,,11
"Jefes y empleados de oficina (100)",23,10,2,2,9
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",223,210,11,1,1
"Agricult.trabaj.calif.agrop.y pesqueros (102)",123,109,13,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (103)",41,9,2,2,28
"Obreros construc.,conf.,papel, fab., instr. (104)",6,5,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (105)",1128,646,225,100,157
"Ocupación no especificada (107)",69,65,3,,1
