"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia VICTOR FAJARDO (000)",8442,1150,1770,3969,82,1098,57,316
"Agric., ganadería, caza y silvicultura (001)",4688,6,713,2973,56,940,,
"Pesca (002)",8,,7,1,,,,
"Explotación de minas y canteras (003)",594,134,454,4,2,,,
"Industrias manufactureras (004)",128,2,40,77,3,6,,
"Suministro de electricidad, gas y agua (005)",4,,3,1,,,,
"Construcción (006)",506,13,358,95,7,33,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",441,18,4,378,5,36,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",12,1,4,7,,,,
"Comercio al por mayor (009)",11,,,11,,,,
"Comercio al por menor (010)",418,17,,360,5,36,,
"Hoteles y restaurantes (011)",222,15,19,174,4,10,,
"Trans., almac. y comunicaciones (012)",103,15,43,43,1,1,,
"Intermediación financiera (013)",5,4,,1,,,,
"Activid.inmobil., empres. y alquileres (014)",53,33,15,5,,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",314,246,68,,,,,
"Enseñanza (016)",575,521,,53,1,,,
"Servicios sociales y de salud (017)",114,101,7,6,,,,
"Otras activ. serv.comun.soc y personales (018)",41,10,4,24,,3,,
"Hogares privados con servicio doméstico (019)",57,,,,,,57,
"Actividad economica no especificada (021)",273,32,35,134,3,69,,
"Desocupado (022)",316,,,,,,,316
"Hombres (023)",5678,765,1432,2706,55,495,,225
"Agric., ganadería, caza y silvicultura (024)",3237,6,475,2282,41,433,,
"Pesca (025)",7,,6,1,,,,
"Explotación de minas y canteras (026)",576,125,445,4,2,,,
"Industrias manufactureras (027)",100,1,36,57,2,4,,
"Suministro de electricidad, gas y agua (028)",4,,3,1,,,,
"Construcción (029)",462,13,318,93,6,32,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",158,9,4,137,2,6,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",11,1,4,6,,,,
"Comercio al por mayor (032)",9,,,9,,,,
"Comercio al por menor (033)",138,8,,122,2,6,,
"Hoteles y restaurantes (034)",27,3,10,11,,3,,
"Trans., almac. y comunicaciones (035)",99,15,41,41,1,1,,
"Intermediación financiera (036)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (037)",36,23,11,2,,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",221,161,60,,,,,
"Enseñanza (039)",358,338,,20,,,,
"Servicios sociales y de salud (040)",52,43,3,6,,,,
"Otras activ. serv.comun.soc y personales (041)",11,6,1,3,,1,,
"Actividad economica no especificada (044)",103,20,19,48,1,15,,
"Desocupado (045)",225,,,,,,,225
"Mujeres (046)",2764,385,338,1263,27,603,57,91
"Agric., ganadería, caza y silvicultura (047)",1451,,238,691,15,507,,
"Pesca (048)",1,,1,,,,,
"Explotación de minas y canteras (049)",18,9,9,,,,,
"Industrias manufactureras (050)",28,1,4,20,1,2,,
"Construcción (052)",44,,40,2,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",283,9,,241,3,30,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",1,,,1,,,,
"Comercio al por mayor (055)",2,,,2,,,,
"Comercio al por menor (056)",280,9,,238,3,30,,
"Hoteles y restaurantes (057)",195,12,9,163,4,7,,
"Trans., almac. y comunicaciones (058)",4,,2,2,,,,
"Intermediación financiera (059)",3,2,,1,,,,
"Activid.inmobil., empres. y alquileres (060)",17,10,4,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",93,85,8,,,,,
"Enseñanza (062)",217,183,,33,1,,,
"Servicios sociales y de salud (063)",62,58,4,,,,,
"Otras activ. serv.comun.soc y personales (064)",30,4,3,21,,2,,
"Hogares privados con servicio doméstico (065)",57,,,,,,57,
"Actividad economica no especificada (067)",170,12,16,86,2,54,,
,,,,,,,,
"URBANA (068)",6577,1035,1493,2853,72,834,55,235
"Agric., ganadería, caza y silvicultura (069)",3349,4,591,1983,50,721,,
"Pesca (070)",4,,3,1,,,,
"Explotación de minas y canteras (071)",573,134,434,3,2,,,
"Industrias manufactureras (072)",110,2,31,70,3,4,,
"Suministro de electricidad, gas y agua (073)",4,,3,1,,,,
"Construcción (074)",364,9,268,64,4,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",411,16,4,354,4,33,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",12,1,4,7,,,,
"Comercio al por mayor (077)",8,,,8,,,,
"Comercio al por menor (078)",391,15,,339,4,33,,
"Hoteles y restaurantes (079)",199,13,17,155,4,10,,
"Trans., almac. y comunicaciones (080)",91,12,38,39,1,1,,
"Intermediación financiera (081)",5,4,,1,,,,
"Activid.inmobil., empres. y alquileres (082)",49,32,13,4,,,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",277,227,50,,,,,
"Enseñanza (084)",499,457,,41,1,,,
"Servicios sociales y de salud (085)",99,88,5,6,,,,
"Otras activ. serv.comun.soc y personales (086)",36,9,4,22,,1,,
"Hogares privados con servicio doméstico (087)",55,,,,,,55,
"Actividad economica no especificada (089)",217,28,32,109,3,45,,
"Desocupado (090)",235,,,,,,,235
"Hombres (091)",4338,687,1220,1857,46,352,,176
"Agric., ganadería, caza y silvicultura (092)",2261,4,404,1505,35,313,,
"Pesca (093)",4,,3,1,,,,
"Explotación de minas y canteras (094)",555,125,425,3,2,,,
"Industrias manufactureras (095)",84,1,27,51,2,3,,
"Suministro de electricidad, gas y agua (096)",4,,3,1,,,,
"Construcción (097)",333,9,240,62,4,18,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",140,7,4,123,1,5,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",11,1,4,6,,,,
"Comercio al por mayor (100)",6,,,6,,,,
"Comercio al por menor (101)",123,6,,111,1,5,,
"Hoteles y restaurantes (102)",23,2,8,10,,3,,
"Trans., almac. y comunicaciones (103)",88,12,37,37,1,1,,
"Intermediación financiera (104)",2,2,,,,,,
"Activid.inmobil., empres. y alquileres (105)",33,23,9,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",185,143,42,,,,,
"Enseñanza (107)",310,298,,12,,,,
"Servicios sociales y de salud (108)",44,37,1,6,,,,
"Otras activ. serv.comun.soc y personales (109)",9,5,1,3,,,,
"Actividad economica no especificada (112)",87,19,16,42,1,9,,
"Desocupado (113)",176,,,,,,,176
"Mujeres (114)",2239,348,273,996,26,482,55,59
"Agric., ganadería, caza y silvicultura (115)",1088,,187,478,15,408,,
"Explotación de minas y canteras (117)",18,9,9,,,,,
"Industrias manufactureras (118)",26,1,4,19,1,1,,
"Construcción (120)",31,,28,2,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",271,9,,231,3,28,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",1,,,1,,,,
"Comercio al por mayor (123)",2,,,2,,,,
