"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TOCACHE (000)",67635,3079,7530,8470,8184,13090,10359,14536,2387
"Sabe leer y escribir (001)",58332,,5308,8352,8060,12718,9687,12630,1577
"No sabe leer y escribir (002)",9303,3079,2222,118,124,372,672,1906,810
"Hombres (004)",38084,1569,3919,4381,4691,7737,5817,8666,1304
"Sabe leer y escribir (005)",34019,,2748,4315,4632,7586,5614,8055,1069
"No sabe leer y escribir (006)",4065,1569,1171,66,59,151,203,611,235
"Mujeres (008)",29551,1510,3611,4089,3493,5353,4542,5870,1083
"Sabe leer y escribir (009)",24313,,2560,4037,3428,5132,4073,4575,508
"No sabe leer y escribir (010)",5238,1510,1051,52,65,221,469,1295,575
,,,,,,,,,
"URBANA (012)",34318,1389,3462,4190,4439,6713,5281,7651,1193
"Sabe leer y escribir (013)",30840,,2639,4153,4411,6621,5110,7033,873
"No sabe leer y escribir (014)",3478,1389,823,37,28,92,171,618,320
"Hombres (016)",18611,682,1788,2106,2474,3842,2807,4310,602
"Sabe leer y escribir (017)",17134,,1350,2082,2460,3805,2761,4151,525
"No sabe leer y escribir (018)",1477,682,438,24,14,37,46,159,77
"Mujeres (020)",15707,707,1674,2084,1965,2871,2474,3341,591
"Sabe leer y escribir (021)",13706,,1289,2071,1951,2816,2349,2882,348
"No sabe leer y escribir (022)",2001,707,385,13,14,55,125,459,243
,,,,,,,,,
"RURAL (024)",33317,1690,4068,4280,3745,6377,5078,6885,1194
"Sabe leer y escribir (025)",27492,,2669,4199,3649,6097,4577,5597,704
"No sabe leer y escribir (026)",5825,1690,1399,81,96,280,501,1288,490
"Hombres (028)",19473,887,2131,2275,2217,3895,3010,4356,702
"Sabe leer y escribir (029)",16885,,1398,2233,2172,3781,2853,3904,544
"No sabe leer y escribir (030)",2588,887,733,42,45,114,157,452,158
"Mujeres (032)",13844,803,1937,2005,1528,2482,2068,2529,492
"Sabe leer y escribir (033)",10607,,1271,1966,1477,2316,1724,1693,160
"No sabe leer y escribir (034)",3237,803,666,39,51,166,344,836,332
