"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia LA CONVENCION (000)",64424,67,3486,1237,940,5838,25416,2085,3426,17920,311,1881,1817
"Agric., ganadería, caza y silvicultura (001)",37966,,65,64,7,,25404,11,22,12393,,,
"Pesca (002)",25,,1,,,,12,,,12,,,
"Explotación de minas y canteras (003)",374,1,9,17,5,,,27,7,308,,,
"Industrias manufactureras (004)",1587,1,25,46,24,8,,1360,101,22,,,
"Suministro de electricidad, gas y agua (005)",113,1,12,15,4,,,29,22,30,,,
"Construcción (006)",2750,,70,47,31,,,127,1566,909,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",5963,1,28,117,26,4435,,480,27,849,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",506,,2,18,3,109,,356,15,3,,,
"Comercio al por mayor (009)",265,1,6,16,14,210,,,4,14,,,
"Comercio al por menor (010)",5192,,20,83,9,4116,,124,8,832,,,
"Hoteles y restaurantes (011)",1967,,12,77,21,1144,,1,2,710,,,
"Trans., almac. y comunicaciones (012)",1925,,11,71,79,25,,6,1434,299,,,
"Intermediación financiera (013)",96,3,17,13,45,,,1,3,14,,,
"Activid.inmobil., empres. y alquileres (014)",828,,236,198,121,81,,6,42,144,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2311,37,180,96,407,29,,25,174,1052,311,,
"Enseñanza (016)",2554,23,2461,11,26,,,,,33,,,
"Servicios sociales y de salud (017)",668,,273,307,32,23,,7,6,20,,,
"Otras activ. serv.comun.soc y personales (018)",565,,72,133,40,93,,5,20,202,,,
"Hogares privados con servicio doméstico (019)",920,,,,,,,,,920,,,
"Actividad economica no especificada (021)",1995,,14,25,72,,,,,3,,1881,
"Desocupado (022)",1817,,,,,,,,,,,,1817
"Hombres (023)",47597,57,1934,796,523,1956,23013,1830,3362,11863,303,751,1209
"Agric., ganadería, caza y silvicultura (024)",31867,,58,61,5,,23001,10,20,8712,,,
"Pesca (025)",24,,1,,,,12,,,11,,,
"Explotación de minas y canteras (026)",372,1,9,16,5,,,27,7,307,,,
"Industrias manufactureras (027)",1307,1,15,36,20,4,,1127,84,20,,,
"Suministro de electricidad, gas y agua (028)",110,1,11,15,4,,,28,22,29,,,
"Construcción (029)",2652,,66,44,17,,,124,1547,854,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",2426,1,16,80,10,1564,,465,26,264,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",446,,2,16,1,61,,348,15,3,,,
"Comercio al por mayor (032)",143,1,3,12,7,104,,,4,12,,,
"Comercio al por menor (033)",1837,,11,52,2,1399,,117,7,249,,,
"Hoteles y restaurantes (034)",392,,5,24,6,223,,1,2,131,,,
"Trans., almac. y comunicaciones (035)",1767,,8,44,44,22,,6,1410,233,,,
"Intermediación financiera (036)",65,3,13,6,29,,,,3,11,,,
"Activid.inmobil., empres. y alquileres (037)",624,,176,143,62,77,,6,42,118,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",1956,34,153,76,254,28,,25,173,910,303,,
"Enseñanza (039)",1279,16,1217,7,13,,,,,26,,,
"Servicios sociales y de salud (040)",286,,113,128,15,12,,6,6,6,,,
"Otras activ. serv.comun.soc y personales (041)",332,,61,99,21,26,,5,20,100,,,
"Hogares privados con servicio doméstico (042)",129,,,,,,,,,129,,,
"Actividad economica no especificada (044)",800,,12,17,18,,,,,2,,751,
"Desocupado (045)",1209,,,,,,,,,,,,1209
"Mujeres (046)",16827,10,1552,441,417,3882,2403,255,64,6057,8,1130,608
"Agric., ganadería, caza y silvicultura (047)",6099,,7,3,2,,2403,1,2,3681,,,
"Pesca (048)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (049)",2,,,1,,,,,,1,,,
"Industrias manufactureras (050)",280,,10,10,4,4,,233,17,2,,,
"Suministro de electricidad, gas y agua (051)",3,,1,,,,,1,,1,,,
"Construcción (052)",98,,4,3,14,,,3,19,55,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",3537,,12,37,16,2871,,15,1,585,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",60,,,2,2,48,,8,,,,,
"Comercio al por mayor (055)",122,,3,4,7,106,,,,2,,,
"Comercio al por menor (056)",3355,,9,31,7,2717,,7,1,583,,,
"Hoteles y restaurantes (057)",1575,,7,53,15,921,,,,579,,,
"Trans., almac. y comunicaciones (058)",158,,3,27,35,3,,,24,66,,,
"Intermediación financiera (059)",31,,4,7,16,,,1,,3,,,
"Activid.inmobil., empres. y alquileres (060)",204,,60,55,59,4,,,,26,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",355,3,27,20,153,1,,,1,142,8,,
"Enseñanza (062)",1275,7,1244,4,13,,,,,7,,,
"Servicios sociales y de salud (063)",382,,160,179,17,11,,1,,14,,,
"Otras activ. serv.comun.soc y personales (064)",233,,11,34,19,67,,,,102,,,
"Hogares privados con servicio doméstico (065)",791,,,,,,,,,791,,,
"Actividad economica no especificada (067)",1195,,2,8,54,,,,,1,,1130,
"Desocupado (068)",608,,,,,,,,,,,,608
,,,,,,,,,,,,,
"URBANA (069)",20554,42,2331,912,684,4137,2614,1475,2214,4077,262,628,1178
"Agric., ganadería, caza y silvicultura (070)",4181,,44,29,5,,2610,2,2,1489,,,
"Pesca (071)",12,,1,,,,4,,,7,,,
"Explotación de minas y canteras (072)",48,1,8,9,5,,,9,4,12,,,
"Industrias manufactureras (073)",1083,,19,40,15,6,,922,65,16,,,
"Suministro de electricidad, gas y agua (074)",55,1,10,7,1,,,22,5,9,,,
"Construcción (075)",1350,,42,21,12,,,80,942,253,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",4382,1,22,100,23,3173,,410,19,634,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",425,,2,15,3,82,,310,13,,,,
"Comercio al por mayor (078)",196,1,4,15,12,151,,,1,12,,,
"Comercio al por menor (079)",3761,,16,70,8,2940,,100,5,622,,,
"Hoteles y restaurantes (080)",1426,,12,60,14,787,,,2,551,,,
"Trans., almac. y comunicaciones (081)",1406,,9,67,51,9,,4,1055,211,,,
"Intermediación financiera (082)",84,3,16,12,41,,,1,2,9,,,
"Activid.inmobil., empres. y alquileres (083)",636,,211,165,96,46,,4,34,80,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",1141,27,157,72,280,23,,11,77,232,262,,
"Enseñanza (085)",1553,9,1493,8,23,,,,,20,,,
"Servicios sociales y de salud (086)",473,,219,195,27,12,,6,2,12,,,
"Otras activ. serv.comun.soc y personales (087)",412,,58,106,30,81,,4,5,128,,,
"Hogares privados con servicio doméstico (088)",414,,,,,,,,,414,,,
"Actividad economica no especificada (090)",720,,10,21,61,,,,,,,628,
"Desocupado (091)",1178,,,,,,,,,,,,1178
"Hombres (092)",12740,37,1310,588,371,1392,2181,1301,2165,2090,255,314,736
"Agric., ganadería, caza y silvicultura (093)",3234,,41,27,3,,2177,2,2,982,,,
"Pesca (094)",12,,1,,,,4,,,7,,,
"Explotación de minas y canteras (095)",47,1,8,8,5,,,9,4,12,,,
"Industrias manufactureras (096)",891,,13,31,12,4,,764,53,14,,,
"Suministro de electricidad, gas y agua (097)",52,1,9,7,1,,,21,5,8,,,
"Construcción (098)",1301,,39,19,5,,,79,927,232,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",1826,1,13,68,8,1120,,398,18,200,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",377,,2,13,1,45,,303,13,,,,
"Comercio al por mayor (101)",103,1,2,12,5,72,,,1,10,,,
"Comercio al por menor (102)",1346,,9,43,2,1003,,95,4,190,,,
"Hoteles y restaurantes (103)",298,,5,21,4,162,,,2,104,,,
"Trans., almac. y comunicaciones (104)",1273,,6,41,30,7,,4,1034,151,,,
"Intermediación financiera (105)",56,3,12,6,27,,,,2,6,,,
"Activid.inmobil., empres. y alquileres (106)",461,,157,118,46,42,,4,34,60,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",960,26,134,59,180,23,,11,77,195,255,,
"Enseñanza (108)",753,5,717,5,11,,,,,15,,,
"Servicios sociales y de salud (109)",215,,98,86,13,8,,5,2,3,,,
"Otras activ. serv.comun.soc y personales (110)",227,,49,78,13,26,,4,5,52,,,
"Hogares privados con servicio doméstico (111)",49,,,,,,,,,49,,,
"Actividad economica no especificada (113)",349,,8,14,13,,,,,,,314,
"Desocupado (114)",736,,,,,,,,,,,,736
"Mujeres (115)",7814,5,1021,324,313,2745,433,174,49,1987,7,314,442
"Agric., ganadería, caza y silvicultura (116)",947,,3,2,2,,433,,,507,,,
"Explotación de minas y canteras (118)",1,,,1,,,,,,,,,
"Industrias manufactureras (119)",192,,6,9,3,2,,158,12,2,,,
"Suministro de electricidad, gas y agua (120)",3,,1,,,,,1,,1,,,
"Construcción (121)",49,,3,2,7,,,1,15,21,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",2556,,9,32,15,2053,,12,1,434,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",48,,,2,2,37,,7,,,,,
"Comercio al por mayor (124)",93,,2,3,7,79,,,,2,,,
"Comercio al por menor (125)",2415,,7,27,6,1937,,5,1,432,,,
"Hoteles y restaurantes (126)",1128,,7,39,10,625,,,,447,,,
"Trans., almac. y comunicaciones (127)",133,,3,26,21,2,,,21,60,,,
"Intermediación financiera (128)",28,,4,6,14,,,1,,3,,,
"Activid.inmobil., empres. y alquileres (129)",175,,54,47,50,4,,,,20,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",181,1,23,13,100,,,,,37,7,,
"Enseñanza (131)",800,4,776,3,12,,,,,5,,,
"Servicios sociales y de salud (132)",258,,121,109,14,4,,1,,9,,,
"Otras activ. serv.comun.soc y personales (133)",185,,9,28,17,55,,,,76,,,
"Hogares privados con servicio doméstico (134)",365,,,,,,,,,365,,,
"Actividad economica no especificada (136)",371,,2,7,48,,,,,,,314,
"Desocupado (137)",442,,,,,,,,,,,,442
,,,,,,,,,,,,,
"RURAL (138)",43870,25,1155,325,256,1701,22802,610,1212,13843,49,1253,639
"Agric., ganadería, caza y silvicultura (139)",33785,,21,35,2,,22794,9,20,10904,,,
"Pesca (140)",13,,,,,,8,,,5,,,
