"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AYMARAES (000)",16781,6029,10752
"Casa independiente (001)",15464,5733,9731
"Departamento en edificio (002)",8,8,
"Vivienda en quinta (003)",17,17,
"Vivienda en casa de vecindad (004)",262,262,
"Choza o cabaña (005)",1020,,1020
"Vivienda improvisada (006)",7,7,
"Local no dest.para hab. humana (007)",3,2,1
