"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONDESUYOS (000)",8365,1212,3111,3183,82,728,49
"Agric., ganadería, caza y silvicultura (001)",2699,13,608,1449,44,585,
"Pesca (002)",135,,90,44,,1,
"Explotación de minas y canteras (003)",3230,308,1966,928,18,10,
"Industrias manufactureras (004)",151,7,64,68,1,11,
"Suministro de electricidad, gas y agua (005)",6,,5,1,,,
"Construcción (006)",268,15,211,35,3,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",490,52,11,375,3,49,
"Venta, mant.y rep. veh.autom y motoc. (008)",17,4,9,2,1,1,
"Comercio al por mayor (009)",22,1,,16,,5,
"Comercio al por menor (010)",451,47,2,357,2,43,
"Hoteles y restaurantes (011)",199,48,26,97,5,23,
"Trans., almac. y comunicaciones (012)",154,41,37,71,3,2,
"Intermediación financiera (013)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (014)",91,73,9,8,,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",215,196,19,,,,
"Enseñanza (016)",340,328,,12,,,
"Servicios sociales y de salud (017)",81,69,2,10,,,
"Otras activ. serv.comun.soc y personales (018)",117,47,39,26,,5,
"Hogares privados con servicio doméstico (019)",49,,,,,,49
"Actividad economica no especificada (021)",137,12,24,59,5,37,
"Hombres (022)",6148,743,2784,2284,61,269,7
"Agric., ganadería, caza y silvicultura (023)",1710,13,409,1033,33,222,
"Pesca (024)",131,,87,43,,1,
"Explotación de minas y canteras (025)",3089,269,1917,880,17,6,
"Industrias manufactureras (026)",80,6,35,34,,5,
"Suministro de electricidad, gas y agua (027)",6,,5,1,,,
"Construcción (028)",250,12,198,34,3,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",171,18,10,128,1,14,
"Venta, mant.y rep. veh.autom y motoc. (030)",14,3,8,2,,1,
"Comercio al por mayor (031)",9,1,,6,,2,
"Comercio al por menor (032)",148,14,2,120,1,11,
"Hoteles y restaurantes (033)",40,18,12,5,1,4,
"Trans., almac. y comunicaciones (034)",144,36,37,66,3,2,
"Intermediación financiera (035)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (036)",76,58,9,8,,1,
"Admin.pub. y defensa; p. segur soc.afil (037)",144,125,19,,,,
"Enseñanza (038)",143,139,,4,,,
"Servicios sociales y de salud (039)",26,18,,8,,,
"Otras activ. serv.comun.soc y personales (040)",66,23,29,12,,2,
"Hogares privados con servicio doméstico (041)",7,,,,,,7
"Actividad economica no especificada (043)",63,6,17,28,3,9,
"Mujeres (044)",2217,469,327,899,21,459,42
"Agric., ganadería, caza y silvicultura (045)",989,,199,416,11,363,
"Pesca (046)",4,,3,1,,,
"Explotación de minas y canteras (047)",141,39,49,48,1,4,
"Industrias manufactureras (048)",71,1,29,34,1,6,
"Construcción (050)",18,3,13,1,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",319,34,1,247,2,35,
"Venta, mant.y rep. veh.autom y motoc. (052)",3,1,1,,1,,
"Comercio al por mayor (053)",13,,,10,,3,
"Comercio al por menor (054)",303,33,,237,1,32,
"Hoteles y restaurantes (055)",159,30,14,92,4,19,
"Trans., almac. y comunicaciones (056)",10,5,,5,,,
"Intermediación financiera (057)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (058)",15,15,,,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",71,71,,,,,
"Enseñanza (060)",197,189,,8,,,
"Servicios sociales y de salud (061)",55,51,2,2,,,
"Otras activ. serv.comun.soc y personales (062)",51,24,10,14,,3,
"Hogares privados con servicio doméstico (063)",42,,,,,,42
"Actividad economica no especificada (065)",74,6,7,31,2,28,
,,,,,,,
"URBANA (066)",3197,757,1066,1043,32,263,36
"Agric., ganadería, caza y silvicultura (067)",888,9,259,422,16,182,
"Pesca (068)",41,,31,9,,1,
"Explotación de minas y canteras (069)",804,106,560,135,1,2,
"Industrias manufactureras (070)",102,2,41,50,1,8,
"Suministro de electricidad, gas y agua (071)",5,,4,1,,,
"Construcción (072)",117,3,93,14,3,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",311,37,7,228,3,36,
"Venta, mant.y rep. veh.autom y motoc. (074)",14,4,6,2,1,1,
"Comercio al por mayor (075)",13,1,,9,,3,
"Comercio al por menor (076)",284,32,1,217,2,32,
"Hoteles y restaurantes (077)",126,22,9,78,3,14,
"Trans., almac. y comunicaciones (078)",94,26,14,51,2,1,
"Intermediación financiera (079)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (080)",58,44,7,7,,,
"Admin.pub. y defensa; p. segur soc.afil (081)",173,160,13,,,,
"Enseñanza (082)",262,254,,8,,,
"Servicios sociales y de salud (083)",59,50,,9,,,
"Otras activ. serv.comun.soc y personales (084)",61,33,11,14,,3,
"Hogares privados con servicio doméstico (085)",36,,,,,,36
"Actividad economica no especificada (087)",57,8,17,17,3,12,
"Hombres (088)",2087,406,916,649,22,88,6
"Agric., ganadería, caza y silvicultura (089)",562,9,171,310,13,59,
"Pesca (090)",40,,30,9,,1,
"Explotación de minas y canteras (091)",775,98,542,132,1,2,
"Industrias manufactureras (092)",49,1,21,24,,3,
"Suministro de electricidad, gas y agua (093)",5,,4,1,,,
"Construcción (094)",110,2,88,14,3,3,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",116,14,6,84,1,11,
"Venta, mant.y rep. veh.autom y motoc. (096)",11,3,5,2,,1,
"Comercio al por mayor (097)",7,1,,4,,2,
"Comercio al por menor (098)",98,10,1,78,1,8,
"Hoteles y restaurantes (099)",11,3,,4,,4,
"Trans., almac. y comunicaciones (100)",85,21,14,47,2,1,
"Intermediación financiera (101)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (102)",45,31,7,7,,,
"Admin.pub. y defensa; p. segur soc.afil (103)",105,92,13,,,,
"Enseñanza (104)",105,103,,2,,,
"Servicios sociales y de salud (105)",18,11,,7,,,
"Otras activ. serv.comun.soc y personales (106)",27,16,8,3,,,
"Hogares privados con servicio doméstico (107)",6,,,,,,6
"Actividad economica no especificada (109)",26,3,12,5,2,4,
"Mujeres (110)",1110,351,150,394,10,175,30
"Agric., ganadería, caza y silvicultura (111)",326,,88,112,3,123,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",29,8,18,3,,,
"Industrias manufactureras (114)",53,1,20,26,1,5,
"Construcción (116)",7,1,5,,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",195,23,1,144,2,25,
"Venta, mant.y rep. veh.autom y motoc. (118)",3,1,1,,1,,
"Comercio al por mayor (119)",6,,,5,,1,
"Comercio al por menor (120)",186,22,,139,1,24,
"Hoteles y restaurantes (121)",115,19,9,74,3,10,
"Trans., almac. y comunicaciones (122)",9,5,,4,,,
"Intermediación financiera (123)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (124)",13,13,,,,,
