"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SANDIA (000)",62147,61657,306,184
"Hombres (001)",33265,33030,138,97
"Mujeres (002)",28882,28627,168,87
"Menores de 1 año (003)",1160,1019,92,49
"Hombres (004)",585,507,53,25
"Mujeres (005)",575,512,39,24
"De 1 a 5 años (006)",6762,6520,111,131
"Hombres (007)",3452,3330,50,72
"Mujeres (008)",3310,3190,61,59
"De 6 a 14 años (009)",13309,13304,5,
"Hombres (010)",6813,6811,2,
"Mujeres (011)",6496,6493,3,
"De 15 a 29 años (012)",16632,16628,4,
"Hombres (013)",8865,8862,3,
"Mujeres (014)",7767,7766,1,
"De 30 a 44 años (015)",12479,12473,5,1
"Hombres (016)",6821,6819,2,
"Mujeres (017)",5658,5654,3,1
"De 45 a 64 años (018)",8422,8404,18,
"Hombres (019)",4808,4801,7,
"Mujeres (020)",3614,3603,11,
"De 65 a más años (021)",3383,3309,71,3
"Hombres (022)",1921,1900,21,
"Mujeres (023)",1462,1409,50,3
,,,,
"URBANA (024)",16543,16413,64,66
"Hombres (025)",8258,8197,29,32
"Mujeres (026)",8285,8216,35,34
"Menores de 1 año (027)",295,258,22,15
"Hombres (028)",162,138,17,7
"Mujeres (029)",133,120,5,8
"De 1 a 5 años (030)",1699,1627,22,50
"Hombres (031)",844,810,9,25
"Mujeres (032)",855,817,13,25
"De 6 a 14 años (033)",3777,3775,2,
"Hombres (034)",1862,1862,,
"Mujeres (035)",1915,1913,2,
"De 15 a 29 años (036)",4439,4438,1,
"Hombres (037)",2186,2186,,
"Mujeres (038)",2253,2252,1,
"De 30 a 44 años (039)",3424,3423,1,
"Hombres (040)",1675,1674,1,
"Mujeres (041)",1749,1749,,
"De 45 a 64 años (042)",2084,2082,2,
"Hombres (043)",1103,1103,,
"Mujeres (044)",981,979,2,
"De 65 a más años (045)",825,810,14,1
"Hombres (046)",426,424,2,
"Mujeres (047)",399,386,12,1
,,,,
"RURAL (048)",45604,45244,242,118
"Hombres (049)",25007,24833,109,65
"Mujeres (050)",20597,20411,133,53
"Menores de 1 año (051)",865,761,70,34
"Hombres (052)",423,369,36,18
"Mujeres (053)",442,392,34,16
"De 1 a 5 años (054)",5063,4893,89,81
"Hombres (055)",2608,2520,41,47
"Mujeres (056)",2455,2373,48,34
"De 6 a 14 años (057)",9532,9529,3,
"Hombres (058)",4951,4949,2,
"Mujeres (059)",4581,4580,1,
"De 15 a 29 años (060)",12193,12190,3,
"Hombres (061)",6679,6676,3,
"Mujeres (062)",5514,5514,,
"De 30 a 44 años (063)",9055,9050,4,1
"Hombres (064)",5146,5145,1,
"Mujeres (065)",3909,3905,3,1
"De 45 a 64 años (066)",6338,6322,16,
"Hombres (067)",3705,3698,7,
"Mujeres (068)",2633,2624,9,
"De 65 a más años (069)",2558,2499,57,2
"Hombres (070)",1495,1476,19,
"Mujeres (071)",1063,1023,38,2
