"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONCEPCION (000)",18724,2739,3893,8209,243,3381,259
"Sin nivel (001)",1008,15,177,483,6,308,19
"Educación inicial (002)",11,,2,5,,4,
"Primaria (003)",5554,94,1194,2865,52,1271,78
"Secundaria (004)",7350,601,1909,3219,89,1415,117
"Superior no univ. incompleta (005)",1038,227,189,440,18,141,23
"Superior no univ. completa (006)",1639,689,249,534,23,133,11
"Superior univ. incompleta (007)",665,220,88,271,24,57,5
"Superior univ. completa (008)",1459,893,85,392,31,52,6
"Hombres (010)",12321,1574,2993,5658,162,1912,22
"Sin nivel (011)",420,6,73,243,,96,2
"Educación inicial (012)",3,,,1,,2,
"Primaria (013)",3583,50,810,1993,35,688,7
"Secundaria (014)",5388,431,1601,2348,65,934,9
"Superior no univ. incompleta (015)",653,129,152,283,12,76,1
"Superior no univ. completa (016)",966,346,211,336,15,57,1
"Superior univ. incompleta (017)",445,134,76,187,16,31,1
"Superior univ. completa (018)",863,478,70,267,19,28,1
"Mujeres (020)",6403,1165,900,2551,81,1469,237
"Sin nivel (021)",588,9,104,240,6,212,17
"Educación inicial (022)",8,,2,4,,2,
"Primaria (023)",1971,44,384,872,17,583,71
"Secundaria (024)",1962,170,308,871,24,481,108
"Superior no univ. incompleta (025)",385,98,37,157,6,65,22
"Superior no univ. completa (026)",673,343,38,198,8,76,10
"Superior univ. incompleta (027)",220,86,12,84,8,26,4
"Superior univ. completa (028)",596,415,15,125,12,24,5
,,,,,,,
"URBANA (030)",10956,2169,2038,4867,197,1482,203
"Sin nivel (031)",394,10,79,205,3,81,16
"Educación inicial (032)",6,,,4,,2,
"Primaria (033)",2395,78,598,1225,38,400,56
"Secundaria (034)",4331,429,971,2067,70,706,88
"Superior no univ. incompleta (035)",802,184,115,364,17,101,21
"Superior no univ. completa (036)",1280,562,160,424,22,101,11
"Superior univ. incompleta (037)",545,179,57,237,19,48,5
"Superior univ. completa (038)",1203,727,58,341,28,43,6
"Hombres (040)",6359,1178,1494,2908,132,630,17
"Sin nivel (041)",100,4,26,53,,16,1
"Educación inicial (042)",1,,,,,1,
"Primaria (043)",1195,37,378,633,26,116,5
"Secundaria (044)",2867,295,780,1362,51,372,7
"Superior no univ. incompleta (045)",477,100,90,229,11,46,1
"Superior no univ. completa (046)",685,266,129,243,14,32,1
"Superior univ. incompleta (047)",346,100,46,160,13,26,1
"Superior univ. completa (048)",688,376,45,228,17,21,1
"Mujeres (050)",4597,991,544,1959,65,852,186
"Sin nivel (051)",294,6,53,152,3,65,15
"Educación inicial (052)",5,,,4,,1,
"Primaria (053)",1200,41,220,592,12,284,51
"Secundaria (054)",1464,134,191,705,19,334,81
"Superior no univ. incompleta (055)",325,84,25,135,6,55,20
"Superior no univ. completa (056)",595,296,31,181,8,69,10
"Superior univ. incompleta (057)",199,79,11,77,6,22,4
"Superior univ. completa (058)",515,351,13,113,11,22,5
,,,,,,,
"RURAL (060)",7768,570,1855,3342,46,1899,56
"Sin nivel (061)",614,5,98,278,3,227,3
"Educación inicial (062)",5,,2,1,,2,
"Primaria (063)",3159,16,596,1640,14,871,22
"Secundaria (064)",3019,172,938,1152,19,709,29
"Superior no univ. incompleta (065)",236,43,74,76,1,40,2
"Superior no univ. completa (066)",359,127,89,110,1,32,
"Superior univ. incompleta (067)",120,41,31,34,5,9,
"Superior univ. completa (068)",256,166,27,51,3,9,
"Hombres (070)",5962,396,1499,2750,30,1282,5
"Sin nivel (071)",320,2,47,190,,80,1
"Educación inicial (072)",2,,,1,,1,
"Primaria (073)",2388,13,432,1360,9,572,2
"Secundaria (074)",2521,136,821,986,14,562,2
"Superior no univ. incompleta (075)",176,29,62,54,1,30,
"Superior no univ. completa (076)",281,80,82,93,1,25,
"Superior univ. incompleta (077)",99,34,30,27,3,5,
"Superior univ. completa (078)",175,102,25,39,2,7,
"Mujeres (080)",1806,174,356,592,16,617,51
"Sin nivel (081)",294,3,51,88,3,147,2
"Educación inicial (082)",3,,2,,,1,
"Primaria (083)",771,3,164,280,5,299,20
"Secundaria (084)",498,36,117,166,5,147,27
"Superior no univ. incompleta (085)",60,14,12,22,,10,2
"Superior no univ. completa (086)",78,47,7,17,,7,
"Superior univ. incompleta (087)",21,7,1,7,2,4,
"Superior univ. completa (088)",81,64,2,12,1,2,
