"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",49116,3463,6839,7044,6293,9248,6319,8197,1713
"Sabe leer y escribir (001)",39211,,3610,6807,6122,8861,5873,6867,1071
"No sabe leer y escribir (002)",9905,3463,3229,237,171,387,446,1330,642
"Hombres (004)",26427,1759,3479,3654,3365,4988,3475,4713,994
"Sabe leer y escribir (005)",21753,,1807,3524,3275,4829,3307,4262,749
"No sabe leer y escribir (006)",4674,1759,1672,130,90,159,168,451,245
"Mujeres (008)",22689,1704,3360,3390,2928,4260,2844,3484,719
"Sabe leer y escribir (009)",17458,,1803,3283,2847,4032,2566,2605,322
"No sabe leer y escribir (010)",5231,1704,1557,107,81,228,278,879,397
,,,,,,,,,
"URBANA (012)",15024,970,1890,2073,2039,2894,2170,2522,466
"Sabe leer y escribir (013)",12929,,1226,2038,2011,2852,2108,2342,352
"No sabe leer y escribir (014)",2095,970,664,35,28,42,62,180,114
"Hombres (016)",7869,489,927,1051,1095,1481,1118,1443,265
"Sabe leer y escribir (017)",6891,,609,1030,1074,1468,1099,1383,228
"No sabe leer y escribir (018)",978,489,318,21,21,13,19,60,37
"Mujeres (020)",7155,481,963,1022,944,1413,1052,1079,201
"Sabe leer y escribir (021)",6038,,617,1008,937,1384,1009,959,124
"No sabe leer y escribir (022)",1117,481,346,14,7,29,43,120,77
,,,,,,,,,
"RURAL (024)",34092,2493,4949,4971,4254,6354,4149,5675,1247
"Sabe leer y escribir (025)",26282,,2384,4769,4111,6009,3765,4525,719
"No sabe leer y escribir (026)",7810,2493,2565,202,143,345,384,1150,528
"Hombres (028)",18558,1270,2552,2603,2270,3507,2357,3270,729
"Sabe leer y escribir (029)",14862,,1198,2494,2201,3361,2208,2879,521
"No sabe leer y escribir (030)",3696,1270,1354,109,69,146,149,391,208
"Mujeres (032)",15534,1223,2397,2368,1984,2847,1792,2405,518
"Sabe leer y escribir (033)",11420,,1186,2275,1910,2648,1557,1646,198
"No sabe leer y escribir (034)",4114,1223,1211,93,74,199,235,759,320
