"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONTUMAZA (000)",327,297,30
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",56,56,
"Casa pensión (003)",6,6,
"Hospital, clinica (004)",10,8,2
"Cárcel, centro de readaptación social (005)",7,7,
"Otro (008)",143,115,28
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",105,105,
