"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TARMA (000)",44297,108231,98729,,1555,91.2,1.4
"De 12 a 14 años (001)",3871,12,12,,2,100,16.7
"De 15 a 19 años (002)",5859,682,654,186,95.9,27.3,
"De 20 a 24 años (003)",4745,3316,3234,401,97.5,12.1,
"De 25 a 29 años (004)",4340,5916,5783,377,97.8,6.4,
"De 30 a 34 años (005)",3960,8102,7854,274,96.9,3.4,
"De 35 a 39 años (006)",4126,11102,10621,215,95.7,1.9,
"De 40 a 44 años (007)",3462,11704,11068,78,94.6,0.7,
"De 45 a 49 años (008)",2923,11584,10817,22,93.4,0.2,
"De 50 y más años (009)",11011,55813,48686,,87.2,,
"Conviviente (010)",11415,29304,27895,1026,95.2,3.5,
"De 12 a 14 años (011)",30,5,5,1,100,20,
"De 15 a 19 años (012)",673,451,431,126,95.6,27.9,
"De 20 a 24 años (013)",1896,2407,2344,301,97.4,12.5,
"De 25 a 29 años (014)",2187,3968,3877,273,97.7,6.9,
"De 30 a 34 años (015)",1945,4702,4577,168,97.3,3.6,
"De 35 a 39 años (016)",1752,5360,5169,120,96.4,2.2,
"De 40 a 44 años (017)",1108,4083,3894,31,95.4,0.8,
"De 45 a 49 años (018)",754,3187,2980,6,93.5,0.2,
"De 50 y más años (019)",1070,5141,4618,,89.8,,
"Separado(a) (020)",1974,5286,4909,59,92.9,1.1,
"De 12 a 14 años (021)",2,,,,,,
"De 15 a 19 años (022)",62,56,56,13,100,23.2,
"De 20 a 24 años (023)",174,209,206,18,98.6,8.6,
"De 25 a 29 años (024)",220,337,331,13,98.2,3.9,
"De 30 a 34 años (025)",256,485,458,11,94.4,2.3,
"De 35 a 39 años (026)",274,671,638,2,95.1,0.3,
"De 40 a 44 años (027)",256,721,671,1,93.1,0.1,
"De 45 a 49 años (028)",181,645,603,1,93.5,0.2,
"De 50 y más años (029)",549,2162,1946,,90,,
"Casado(a) (030)",11933,52198,47459,342,90.9,0.7,
"De 12 a 14 años (031)",7,1,1,,100,,
"De 15 a 19 años (032)",44,42,38,7,90.5,16.7,
"De 20 a 24 años (033)",240,336,324,34,96.4,10.1,
"De 25 a 29 años (034)",604,1131,1104,72,97.6,6.4,
"De 30 a 34 años (035)",984,2421,2340,85,96.7,3.5,
"De 35 a 39 años (036)",1430,4372,4147,86,94.9,2,
