"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia TOCACHE (000)",72346,40508,31838,36510,19730,16780,35836,20778,15058
"Menores de 1 año (001)",1407,749,658,676,347,329,731,402,329
"Menores de 1 mes (002)",116,62,54,64,33,31,52,29,23
"De 1 a 11 meses (003)",1291,687,604,612,314,298,679,373,306
"De 1 a 4 años (004)",6383,3244,3139,2905,1454,1451,3478,1790,1688
"1 año (005)",1454,732,722,684,349,335,770,383,387
"2 años (006)",1850,943,907,832,423,409,1018,520,498
"3 años (007)",1620,821,799,722,356,366,898,465,433
"4 años (008)",1459,748,711,667,326,341,792,422,370
"De 5 a 9 años (009)",7530,3919,3611,3462,1788,1674,4068,2131,1937
"5 años (010)",1418,739,679,648,340,308,770,399,371
"6 años (011)",1412,747,665,652,342,310,760,405,355
"7 años (012)",1602,791,811,734,366,368,868,425,443
"8 años (013)",1603,844,759,747,389,358,856,455,401
"9 años (014)",1495,798,697,681,351,330,814,447,367
"De 10 a 14 años (015)",8470,4381,4089,4190,2106,2084,4280,2275,2005
"10 años (016)",1632,841,791,786,408,378,846,433,413
"11 años (017)",1588,797,791,760,362,398,828,435,393
"12 años (018)",1814,923,891,913,440,473,901,483,418
"13 años (019)",1681,911,770,808,425,383,873,486,387
"14 años (020)",1755,909,846,923,471,452,832,438,394
"De 15 a 19 años (021)",8184,4691,3493,4439,2474,1965,3745,2217,1528
"15 años (022)",1764,938,826,941,475,466,823,463,360
"16 años (023)",1586,846,740,916,477,439,670,369,301
"17 años (024)",1634,956,678,871,500,371,763,456,307
"18 años (025)",1694,1050,644,928,571,357,766,479,287
"19 años (026)",1506,901,605,783,451,332,723,450,273
"De 20 a 24 años (027)",7209,4272,2937,3781,2187,1594,3428,2085,1343
"20 años (028)",1694,1007,687,876,517,359,818,490,328
"21 años (029)",1308,761,547,722,408,314,586,353,233
"22 años (030)",1464,856,608,742,430,312,722,426,296
"23 años (031)",1409,837,572,748,428,320,661,409,252
"24 años (032)",1334,811,523,693,404,289,641,407,234
"De 25 a 29 años (033)",5881,3465,2416,2932,1655,1277,2949,1810,1139
"25 años (034)",1371,825,546,676,406,270,695,419,276
"26 años (035)",1097,659,438,572,327,245,525,332,193
"27 años (036)",1251,729,522,619,343,276,632,386,246
"28 años (037)",1146,668,478,542,297,245,604,371,233
"29 años (038)",1016,584,432,523,282,241,493,302,191
"De 30 a 34 años (039)",5152,2935,2217,2616,1422,1194,2536,1513,1023
"30 años (040)",1294,786,508,622,360,262,672,426,246
"31 años (041)",819,448,371,435,234,201,384,214,170
"32 años (042)",1033,577,456,506,275,231,527,302,225
"33 años (043)",1042,566,476,553,293,260,489,273,216
"34 años (044)",964,558,406,500,260,240,464,298,166
