"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia ATALAYA",,,,,,,
"Viviendas particulares (001)",9398,575,631,193,6386,405,1208
"Ocupantes presentes (002)",42896,1988,2733,916,30023,1688,5548
"Casa independiente",,,,,,,
"Viviendas particulares (004)",4473,356,372,121,2591,204,829
"Ocupantes presentes (005)",20250,1238,1588,562,12279,787,3796
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",6,2,,,3,1,
"Ocupantes presentes (008)",19,2,,,14,3,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",154,81,,,66,2,5
"Ocupantes presentes (011)",585,226,,,335,8,16
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",67,44,,,15,,8
"Ocupantes presentes (014)",206,114,,,73,,19
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",4625,69,258,72,3680,193,353
"Ocupantes presentes (017)",21537,330,1144,354,17174,862,1673
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",47,20,1,,12,4,10
"Ocupantes presentes (020)",189,70,1,,66,20,32
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",5,3,,,1,1,
"Ocupantes presentes (023)",17,8,,,1,8,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",21,,,,18,,3
"Ocupantes presentes (026)",93,,,,81,,12
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",3214,493,252,95,2064,118,192
"Ocupantes presentes (029)",14435,1632,1081,420,9912,479,911
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2935,344,251,95,1965,111,169
"Ocupantes presentes (032)",13426,1213,1080,420,9421,448,844
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",6,2,,,3,1,
"Ocupantes presentes (035)",19,2,,,14,3,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",154,81,,,66,2,5
"Ocupantes presentes (038)",585,226,,,335,8,16
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",67,44,,,15,,8
"Ocupantes presentes (041)",206,114,,,73,,19
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",47,20,1,,12,4,10
"Ocupantes presentes (047)",189,70,1,,66,20,32
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",3,2,,,1,,
"Ocupantes presentes (050)",8,7,,,1,,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",2,,,,2,,
"Ocupantes presentes (053)",2,,,,2,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6184,82,379,98,4322,287,1016
"Ocupantes presentes (056)",28461,356,1652,496,20111,1209,4637
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1538,12,121,26,626,93,660
"Ocupantes presentes (059)",6824,25,508,142,2858,339,2952
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",4625,69,258,72,3680,193,353
"Ocupantes presentes (071)",21537,330,1144,354,17174,862,1673
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,1,,,,1,
"Ocupantes presentes (077)",9,1,,,,8,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",19,,,,16,,3
"Ocupantes presentes (080)",91,,,,79,,12
